。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
乌 : 忠 0 | 唐 1 | 呢 2 | 拍 3 | 锋 4 | 端 5 | 宜 6 | 静 7 | 乌 8 | 句 9 | 

迹 : 端 0 | 静 1 | 拍 2 | 句 3 | 唐 4 | 偿 5 | 忠 6 | 盖 7 | 呢 8 | 渐 9 | 

邮 : 偿 0 | 盖 1 | 句 2 | 渐 3 | 静 4 | 若 5 | 端 6 | 贝 7 | 拍 8 | 折 9 | 

硬 : 若 0 | 贝 1 | 渐 2 | 折 3 | 盖 4 | 透 5 | 偿 6 | 沃 7 | 句 8 | 屋 9 | 

缩 : 透 0 | 沃 1 | 折 2 | 屋 3 | 贝 4 | 脚 5 | 若 6 | 辽 7 | 渐 8 | 胞 9 | 

词 : 脚 0 | 辽 1 | 屋 2 | 胞 3 | 沃 4 | 恶 5 | 透 6 | 硬 7 | 折 8 | 姓 9 | 

遗 : 恶 0 | 硬 1 | 胞 2 | 姓 3 | 辽 4 | 沈 5 | 脚 6 | 跃 7 | 屋 8 | 怕 9 | 

穿 : 沈 0 | 跃 1 | 姓 2 | 怕 3 | 硬 4 | 烟 5 | 恶 6 | 穿 7 | 胞 8 | 距 9 | 

朋 : 烟 0 | 穿 1 | 怕 2 | 距 3 | 跃 4 | 载 5 | 沈 6 | 虎 7 | 姓 8 | 沉 9 | 

屋 : 载 0 | 虎 1 | 距 2 | 沉 3 | 穿 4 | 朋 5 | 烟 6 | 顶 7 | 怕 8 | 肯 9 | 

患 : 朋 0 | 顶 1 | 沉 2 | 肯 3 | 虎 4 | 涛 5 | 载 6 | 皮 7 | 距 8 | 洁 9 | 

零 : 涛 0 | 皮 1 | 肯 2 | 洁 3 | 顶 4 | 账 5 | 朋 6 | 郑 7 | 沉 8 | 偏 9 | 

皮 : 账 0 | 郑 1 | 洁 2 | 偏 3 | 皮 4 | 享 5 | 涛 6 | 矛 7 | 肯 8 | 坡 9 | 

昌 : 享 0 | 矛 1 | 偏 2 | 坡 3 | 郑 4 | 操 5 | 账 6 | 洛 7 | 洁 8 | 惊 9 | 

拔 : 操 0 | 洛 1 | 坡 2 | 惊 3 | 矛 4 | 潜 5 | 享 6 | 附 7 | 偏 8 | 廉 9 | 

册 : 潜 0 | 附 1 | 惊 2 | 廉 3 | 洛 4 | 疆 5 | 操 6 | 敬 7 | 坡 8 | 龄 9 | 

敢 : 疆 0 | 敬 1 | 廉 2 | 龄 3 | 附 4 | 荒 5 | 潜 6 | 纽 7 | 惊 8 | 殊 9 | 

衣 : 荒 0 | 纽 1 | 龄 2 | 殊 3 | 敬 4 | 乘 5 | 疆 6 | 珍 7 | 廉 8 | 牙 9 | 

弹 : 乘 0 | 珍 1 | 殊 2 | 牙 3 | 纽 4 | 凡 5 | 荒 6 | 询 7 | 龄 8 | 牧 9 | 

翻 : 凡 0 | 询 1 | 牙 2 | 牧 3 | 珍 4 | 跌 5 | 乘 6 | 租 7 | 殊 8 | 倍 9 | 

洛 : 跌 0 | 租 1 | 牧 2 | 倍 3 | 询 4 | 冰 5 | 凡 6 | 亡 7 | 牙 8 | 梁 9 | 

媒 : 冰 0 | 亡 1 | 倍 2 | 梁 3 | 租 4 | 册 5 | 跌 6 | 骨 7 | 牧 8 | 撤 9 | 

轨 : 册 0 | 骨 1 | 梁 2 | 撤 3 | 亡 4 | 翻 5 | 冰 6 | 痛 7 | 倍 8 | 奉 9 | 

痛 : 翻 0 | 痛 1 | 撤 2 | 奉 3 | 骨 4 | 闭 5 | 册 6 | 幸 7 | 梁 8 | 弹 9 | 

截 : 闭 0 | 幸 1 | 奉 2 | 弹 3 | 痛 4 | 词 5 | 翻 6 | 刑 7 | 撤 8 | 灯 9 | 

洁 : 词 0 | 刑 1 | 弹 2 | 灯 3 | 幸 4 | 跑 5 | 闭 6 | 辛 7 | 奉 8 | 旦 9 | 

跟 : 跑 0 | 辛 1 | 灯 2 | 旦 3 | 刑 4 | 晓 5 | 词 6 | 鉴 7 | 弹 8 | 唯 9 | 

董 : 晓 0 | 鉴 1 | 旦 2 | 唯 3 | 辛 4 | 敦 5 | 跑 6 | 截 7 | 灯 8 | 敢 9 | 

洞 : 敦 0 | 截 1 | 唯 2 | 敢 3 | 鉴 4 | 箱 5 | 晓 6 | 零 7 | 旦 8 | 墨 9 | 

句 : 箱 0 | 零 1 | 敢 2 | 墨 3 | 截 4 | 杀 5 | 敦 6 | 纯 7 | 唯 8 | 忙 9 | 

掉 : 杀 0 | 纯 1 | 墨 2 | 忙 3 | 零 4 | 昨 5 | 箱 6 | 缩 7 | 敢 8 | 迪 9 | 

麦 : 昨 0 | 缩 1 | 忙 2 | 迪 3 | 纯 4 | 贺 5 | 杀 6 | 媒 7 | 墨 8 | 弟 9 | 

幸 : 贺 0 | 媒 1 | 迪 2 | 弟 3 | 缩 4 | 耕 5 | 昨 6 | 舍 7 | 忙 8 | 隆 9 | 

赴 : 耕 0 | 舍 1 | 弟 2 | 隆 3 | 媒 4 | 奔 5 | 贺 6 | 估 7 | 迪 8 | 衡 9 | 

卷 : 奔 0 | 估 1 | 隆 2 | 衡 3 | 舍 4 | 拔 5 | 耕 6 | 丁 7 | 弟 8 | 渠 9 | 

疆 : 拔 0 | 丁 1 | 衡 2 | 渠 3 | 估 4 | 洞 5 | 奔 6 | 泉 7 | 隆 8 | 井 9 | 

触 : 洞 0 | 泉 1 | 渠 2 | 井 3 | 丁 4 | 桑 5 | 拔 6 | 卷 7 | 衡 8 | 乏 9 | 

乏 : 桑 0 | 卷 1 | 井 2 | 乏 3 | 泉 4 | 慰 5 | 洞 6 | 跟 7 | 渠 8 | 倾 9 | 

末 : 慰 0 | 跟 1 | 乏 2 | 倾 3 | 卷 4 | 掉 5 | 桑 6 | 浙 7 | 井 8 | 雅 9 | 

浙 : 掉 0 | 浙 1 | 倾 2 | 雅 3 | 跟 4 | 肉 5 | 慰 6 | 泥 7 | 乏 8 | 贴 9 | 

稻 : 肉 0 | 泥 1 | 雅 2 | 贴 3 | 浙 4 | 迷 5 | 掉 6 | 肃 7 | 倾 8 | 滨 9 | 

械 : 迷 0 | 肃 1 | 贴 2 | 滨 3 | 泥 4 | 谷 5 | 肉 6 | 阔 7 | 雅 8 | 爆 9 | 

珠 : 谷 0 | 阔 1 | 滨 2 | 爆 3 | 肃 4 | 侵 5 | 迷 6 | 趣 7 | 贴 8 | 伐 9 | 

谊 : 侵 0 | 趣 1 | 爆 2 | 伐 3 | 阔 4 | 姆 5 | 谷 6 | 绕 7 | 滨 8 | 末 9 | 

遵 : 姆 0 | 绕 1 | 伐 2 | 末 3 | 趣 4 | 冒 5 | 侵 6 | 宫 7 | 爆 8 | 润 9 | 

贴 : 冒 0 | 宫 1 | 末 2 | 润 3 | 绕 4 | 触 5 | 姆 6 | 晨 7 | 伐 8 | Ｃ 9 | 

润 : 触 0 | 晨 1 | 润 2 | Ｃ 3 | 宫 4 | 妈 5 | 冒 6 | ‘ 7 | 末 8 | 戴 9 | 

估 : 妈 0 | ‘ 1 | Ｃ 2 | 戴 3 | 晨 4 | 醒 5 | 触 6 | 谊 7 | 润 8 | 钦 9 | 

返 : 醒 0 | 谊 1 | 戴 2 | 钦 3 | ‘ 4 | 肥 5 | 妈 6 | 忧 7 | Ｃ 8 | 赏 9 | 

覆 : 肥 0 | 忧 1 | 钦 2 | 赏 3 | 谊 4 | 曼 5 | 醒 6 | 阴 7 | 戴 8 | 徽 9 | 

净 : 曼 0 | 阴 1 | 赏 2 | 徽 3 | 忧 4 | 拨 5 | 肥 6 | 梦 7 | 钦 8 | 恐 9 | 

茶 : 拨 0 | 梦 1 | 徽 2 | 恐 3 | 阴 4 | 暖 5 | 曼 6 | 净 7 | 赏 8 | 毁 9 | 

醒 : 暖 0 | 净 1 | 恐 2 | 毁 3 | 梦 4 | 珠 5 | 拨 6 | 餐 7 | 徽 8 | 涌 9 | 

柬 : 珠 0 | 餐 1 | 毁 2 | 涌 3 | 净 4 | 疫 5 | 暖 6 | 茶 7 | 恐 8 | 甲 9 | 

宪 : 疫 0 | 茶 1 | 涌 2 | 甲 3 | 餐 4 | 滑 5 | 珠 6 | 涨 7 | 毁 8 | 返 9 | 

杯 : 滑 0 | 涨 1 | 甲 2 | 返 3 | 茶 4 | 篮 5 | 疫 6 | 抽 7 | 涌 8 | 宋 9 | 

塑 : 篮 0 | 抽 1 | 返 2 | 宋 3 | 涨 4 | 辞 5 | 滑 6 | 圳 7 | 甲 8 | 穷 9 | 

弃 : 辞 0 | 圳 1 | 宋 2 | 穷 3 | 抽 4 | 昆 5 | 篮 6 | 拒 7 | 返 8 | 摩 9 | 

贝 : 昆 0 | 拒 1 | 穷 2 | 摩 3 | 圳 4 | 圣 5 | 辞 6 | 窗 7 | 宋 8 | 洗 9 | 

灯 : 圣 0 | 窗 1 | 摩 2 | 洗 3 | 拒 4 | 跳 5 | 昆 6 | 荡 7 | 穷 8 | 毫 9 | 

胞 : 跳 0 | 荡 1 | 洗 2 | 毫 3 | 窗 4 | 诸 5 | 圣 6 | 倡 7 | 摩 8 | 劲 9 | 

混 : 诸 0 | 倡 1 | 毫 2 | 劲 3 | 荡 4 | 侨 5 | 跳 6 | 塑 7 | 洗 8 | 履 9 | 

迈 : 侨 0 | 塑 1 | 劲 2 | 履 3 | 倡 4 | 谓 5 | 诸 6 | 甘 7 | 毫 8 | 弃 9 | 

诸 : 谓 0 | 甘 1 | 履 2 | 弃 3 | 塑 4 | 峡 5 | 侨 6 | 轨 7 | 劲 8 | 佩 9 | 

贺 : 峡 0 | 轨 1 | 弃 2 | 佩 3 | 甘 4 | 档 5 | 谓 6 | 赢 7 | 履 8 | 旱 9 | 

灌 : 档 0 | 赢 1 | 佩 2 | 旱 3 | 轨 4 | 佛 5 | 峡 6 | 羊 7 | 弃 8 | 默 9 | 

铺 : 佛 0 | 羊 1 | 旱 2 | 默 3 | 赢 4 | 稿 5 | 档 6 | 虚 7 | 佩 8 | 纺 9 | 

℃ : 稿 0 | 虚 1 | 默 2 | 纺 3 | 羊 4 | 圆 5 | 佛 6 | 赖 7 | 旱 8 | 凝 9 | 

薄 : 圆 0 | 赖 1 | 纺 2 | 凝 3 | 虚 4 | 菲 5 | 稿 6 | 彭 7 | 默 8 | 吁 9 | 

横 : 菲 0 | 彭 1 | 凝 2 | 吁 3 | 赖 4 | 聘 5 | 圆 6 | 迈 7 | 纺 8 | 墙 9 | 

旨 : 聘 0 | 迈 1 | 吁 2 | 墙 3 | 彭 4 | 漫 5 | 菲 6 | 废 7 | 凝 8 | 秩 9 | 

钦 : 漫 0 | 废 1 | 墙 2 | 秩 3 | 迈 4 | 遵 5 | 聘 6 | 浩 7 | 吁 8 | 欣 9 | 

扣 : 遵 0 | 浩 1 | 秩 2 | 欣 3 | 废 4 | 慢 5 | 漫 6 | 阻 7 | 墙 8 | 貌 9 | 

寨 : 慢 0 | 阻 1 | 欣 2 | 貌 3 | 浩 4 | 炼 5 | 遵 6 | Ｄ 7 | 秩 8 | 渡 9 | 

暖 : 炼 0 | Ｄ 1 | 貌 2 | 渡 3 | 阻 4 | 祥 5 | 慢 6 | 丝 7 | 欣 8 | 迟 9 | 

垃 : 祥 0 | 丝 1 | 渡 2 | 迟 3 | Ｄ 4 | 楚 5 | 炼 6 | 吗 7 | 貌 8 | 呈 9 | 

弟 : 楚 0 | 吗 1 | 迟 2 | 呈 3 | 丝 4 | 邻 5 | 祥 6 | 仁 7 | 渡 8 | 凭 9 | 

惯 : 邻 0 | 仁 1 | 呈 2 | 凭 3 | 吗 4 | 释 5 | 楚 6 | 纠 7 | 迟 8 | 荷 9 | 

桑 : 释 0 | 纠 1 | 凭 2 | 荷 3 | 仁 4 | 沟 5 | 邻 6 | 迁 7 | 呈 8 | 旨 9 | 

聘 : 沟 0 | 迁 1 | 荷 2 | 旨 3 | 纠 4 | 寒 5 | 释 6 | 耳 7 | 凭 8 | 堡 9 | 

帜 : 寒 0 | 耳 1 | 旨 2 | 堡 3 | 迁 4 | 籍 5 | 沟 6 | 劣 7 | 荷 8 | 哲 9 | 

赠 : 籍 0 | 劣 1 | 堡 2 | 哲 3 | 耳 4 | 坛 5 | 寒 6 | 饮 7 | 旨 8 | 厦 9 | 

奔 : 坛 0 | 饮 1 | 哲 2 | 厦 3 | 劣 4 | 蓝 5 | 籍 6 | 敏 7 | 堡 8 | 淮 9 | 

皇 : 蓝 0 | 敏 1 | 厦 2 | 淮 3 | 饮 4 | 麻 5 | 坛 6 | 番 7 | 哲 8 | 峻 9 | 

凭 : 麻 0 | 番 1 | 淮 2 | 峻 3 | 敏 4 | 舆 5 | 蓝 6 | 殖 7 | 厦 8 | 蓄 9 | 

疫 : 舆 0 | 殖 1 | 峻 2 | 蓄 3 | 番 4 | 氛 5 | 麻 6 | 猪 7 | 淮 8 | 摊 9 | 

冒 : 氛 0 | 猪 1 | 蓄 2 | 摊 3 | 殖 4 | 宪 5 | 舆 6 | 妻 7 | 峻 8 | 耶 9 | 

浩 : 宪 0 | 妻 1 | 摊 2 | 耶 3 | 猪 4 | 赫 5 | 氛 6 | 袋 7 | 蓄 8 | 横 9 | 

暂 : 赫 0 | 袋 1 | 耶 2 | 横 3 | 妻 4 | 薄 5 | 宪 6 | 揭 7 | 摊 8 | 豪 9 | 

旁 : 薄 0 | 揭 1 | 横 2 | 豪 3 | 袋 4 | 械 5 | 赫 6 | 胁 7 | 耶 8 | 循 9 | 

煌 : 械 0 | 胁 1 | 豪 2 | 循 3 | 揭 4 | 巡 5 | 薄 6 | 崇 7 | 横 8 | 坝 9 | 

默 : 巡 0 | 崇 1 | 循 2 | 坝 3 | 胁 4 | 乃 5 | 械 6 | 勃 7 | 豪 8 | 频 9 | 

滑 : 乃 0 | 勃 1 | 坝 2 | 频 3 | 崇 4 | 阅 5 | 巡 6 | 浓 7 | 循 8 | 缴 9 | 

淡 : 阅 0 | 浓 1 | 频 2 | 缴 3 | 勃 4 | 混 5 | 乃 6 | 炸 7 | 坝 8 | 旬 9 | 

揭 : 混 0 | 炸 1 | 缴 2 | 旬 3 | 浓 4 | 阁 5 | 阅 6 | 扣 7 | 频 8 | 灭 9 | 

楚 : 阁 0 | 扣 1 | 旬 2 | 灭 3 | 炸 4 | 辖 5 | 混 6 | 赔 7 | 缴 8 | 苗 9 | 

迷 : 辖 0 | 赔 1 | 灭 2 | 苗 3 | 扣 4 | 诞 5 | 阁 6 | 岚 7 | 旬 8 | 嫩 9 | 

菲 : 诞 0 | 岚 1 | 苗 2 | 嫩 3 | 赔 4 | 旺 5 | 辖 6 | 脸 7 | 灭 8 | 喝 9 | 

晴 : 旺 0 | 脸 1 | 嫩 2 | 喝 3 | 岚 4 | 颁 5 | 诞 6 | 辑 7 | 苗 8 | 宇 9 | 

墨 : 颁 0 | 辑 1 | 喝 2 | 宇 3 | 脸 4 | 俗 5 | 旺 6 | 拼 7 | 嫩 8 | 抱 9 | 

旬 : 俗 0 | 拼 1 | 宇 2 | 抱 3 | 辑 4 | 泪 5 | 颁 6 | 汗 7 | 喝 8 | 旁 9 | 

忧 : 泪 0 | 汗 1 | 抱 2 | 旁 3 | 拼 4 | 皇 5 | 俗 6 | 晴 7 | 宇 8 | 陷 9 | 

扰 : 皇 0 | 晴 1 | 旁 2 | 陷 3 | 汗 4 | 俱 5 | 泪 6 | 柏 7 | 抱 8 | 姐 9 | 

蓄 : 俱 0 | 柏 1 | 陷 2 | 姐 3 | 晴 4 | 惯 5 | 皇 6 | 床 7 | 旁 8 | 胆 9 | 

漏 : 惯 0 | 床 1 | 姐 2 | 胆 3 | 柏 4 | 辈 5 | 俱 6 | 敌 7 | 陷 8 | 燃 9 | 

蒂 : 辈 0 | 敌 1 | 胆 2 | 燃 3 | 床 4 | 猛 5 | 惯 6 | 栏 7 | 姐 8 | 搏 9 | 

浓 : 猛 0 | 栏 1 | 燃 2 | 搏 3 | 敌 4 | 毅 5 | 辈 6 | 鸡 7 | 胆 8 | Ｂ 9 | 

捕 : 毅 0 | 鸡 1 | 搏 2 | Ｂ 3 | 栏 4 | 陕 5 | 猛 6 | 拖 7 | 燃 8 | 渔 9 | 

滨 : 陕 0 | 拖 1 | Ｂ 2 | 渔 3 | 鸡 4 | 颇 5 | 毅 6 | 宅 7 | 搏 8 | 暂 9 | 

徒 : 颇 0 | 宅 1 | 渔 2 | 暂 3 | 拖 4 | 郭 5 | 陕 6 | 贬 7 | Ｂ 8 | 俊 9 | 

佩 : 郭 0 | 贬 1 | 暂 2 | 俊 3 | 宅 4 | 枪 5 | 颇 6 | 帜 7 | 渔 8 | 艾 9 | 

乃 : 枪 0 | 帜 1 | 俊 2 | 艾 3 | 贬 4 | 忽 5 | 郭 6 | 穆 7 | 暂 8 | 柱 9 | 

陪 : 忽 0 | 穆 1 | 艾 2 | 柱 3 | 帜 4 | 替 5 | 枪 6 | 徒 7 | 俊 8 | 陶 9 | 

圣 : 替 0 | 徒 1 | 柱 2 | 陶 3 | 穆 4 | 役 5 | 忽 6 | 晤 7 | 艾 8 | 朴 9 | 

旱 : 役 0 | 晤 1 | 陶 2 | 朴 3 | 徒 4 | 秒 5 | 替 6 | 柬 7 | 柱 8 | 娘 9 | 

篮 : 秒 0 | 柬 1 | 朴 2 | 娘 3 | 晤 4 | 淡 5 | 役 6 | 牵 7 | 陶 8 | 潘 9 | 

盗 : 淡 0 | 牵 1 | 娘 2 | 潘 3 | 柬 4 | 芳 5 | 秒 6 | 铺 7 | 朴 8 | 咨 9 | 

码 : 芳 0 | 铺 1 | 潘 2 | 咨 3 | 牵 4 | 桂 5 | 淡 6 | 您 7 | 娘 8 | 诊 9 | 

朴 : 桂 0 | 您 1 | 咨 2 | 诊 3 | 铺 4 | 寄 5 | 芳 6 | 嘉 7 | 潘 8 | 摇 9 | 

焦 : 寄 0 | 嘉 1 | 诊 2 | 摇 3 | 您 4 | 症 5 | 桂 6 | 孔 7 | 咨 8 | 池 9 | 

纵 : 症 0 | 孔 1 | 摇 2 | 池 3 | 嘉 4 | 葡 5 | 寄 6 | 烧 7 | 诊 8 | 畅 9 | 

懂 : 葡 0 | 烧 1 | 池 2 | 畅 3 | 孔 4 | 鸟 5 | 症 6 | 寨 7 | 摇 8 | 奏 9 | 

纲 : 鸟 0 | 寨 1 | 畅 2 | 奏 3 | 烧 4 | 吧 5 | 葡 6 | 兑 7 | 池 8 | 辟 9 | 

毅 : 吧 0 | 兑 1 | 奏 2 | 辟 3 | 寨 4 | 浮 5 | 鸟 6 | 递 7 | 畅 8 | 厉 9 | 

抱 : 浮 0 | 递 1 | 辟 2 | 厉 3 | 兑 4 | 婚 5 | 吧 6 | 允 7 | 奏 8 | 饱 9 | 

汗 : 婚 0 | 允 1 | 厉 2 | 饱 3 | 递 4 | 畜 5 | 浮 6 | 凌 7 | 辟 8 | 挖 9 | 

饱 : 畜 0 | 凌 1 | 饱 2 | 挖 3 | 允 4 | 纲 5 | 婚 6 | 刺 7 | 厉 8 | 忆 9 | 

闲 : 纲 0 | 刺 1 | 挖 2 | 忆 3 | 凌 4 | 犹 5 | 畜 6 | 粉 7 | 饱 8 | 码 9 | 

甲 : 犹 0 | 粉 1 | 忆 2 | 码 3 | 刺 4 | 腾 5 | 纲 6 | 懂 7 | 挖 8 | 袭 9 | 

肩 : 腾 0 | 懂 1 | 码 2 | 袭 3 | 粉 4 | 欠 5 | 犹 6 | 妥 7 | 忆 8 | 惜 9 | 

阴 : 欠 0 | 妥 1 | 袭 2 | 惜 3 | 懂 4 | 牢 5 | 腾 6 | 夕 7 | 码 8 | 廷 9 | 

泡 : 牢 0 | 夕 1 | 惜 2 | 廷 3 | 妥 4 | 秦 5 | 欠 6 | 盈 7 | 袭 8 | 肩 9 | 

畜 : 秦 0 | 盈 1 | 廷 2 | 肩 3 | 夕 4 | 踏 5 | 牢 6 | 胀 7 | 惜 8 | 蒋 9 | 

辈 : 踏 0 | 胀 1 | 肩 2 | 蒋 3 | 盈 4 | 碑 5 | 秦 6 | 裂 7 | 廷 8 | 裕 9 | 

袁 : 碑 0 | 裂 1 | 蒋 2 | 裕 3 | 胀 4 | 赤 5 | 踏 6 | 钅 7 | 肩 8 | 堵 9 | 

俱 : 赤 0 | 钅 1 | 裕 2 | 堵 3 | 裂 4 | 陪 5 | 碑 6 | 驶 7 | 蒋 8 | 贾 9 | 

侨 : 陪 0 | 驶 1 | 堵 2 | 贾 3 | 钅 4 | 刀 5 | 赤 6 | 幼 7 | 裕 8 | 扫 9 | 

芬 : 刀 0 | 幼 1 | 贾 2 | 扫 3 | 驶 4 | 挤 5 | 陪 6 | 奶 7 | 堵 8 | 煌 9 | 

姐 : 挤 0 | 奶 1 | 扫 2 | 煌 3 | 幼 4 | 寿 5 | 刀 6 | 蔬 7 | 贾 8 | 漠 9 | 

旋 : 寿 0 | 蔬 1 | 煌 2 | 漠 3 | 奶 4 | 隔 5 | 挤 6 | 玩 7 | 扫 8 | 碍 9 | 

嫌 : 隔 0 | 玩 1 | 漠 2 | 碍 3 | 蔬 4 | 捕 5 | 寿 6 | 晋 7 | 煌 8 | 搬 9 | 

袭 : 捕 0 | 晋 1 | 碍 2 | 搬 3 | 玩 4 | 舰 5 | 隔 6 | 逃 7 | 漠 8 | 覆 9 | 

雕 : 舰 0 | 逃 1 | 搬 2 | 覆 3 | 晋 4 | 鸣 5 | 捕 6 | 剂 7 | 碍 8 | 镜 9 | 

池 : 鸣 0 | 剂 1 | 覆 2 | 镜 3 | 逃 4 | 隐 5 | 舰 6 | 辩 7 | 搬 8 | 闲 9 | 

慰 : 隐 0 | 辩 1 | 镜 2 | 闲 3 | 剂 4 | 滋 5 | 鸣 6 | 炮 7 | 覆 8 | 卓 9 | 

缔 : 滋 0 | 炮 1 | 闲 2 | 卓 3 | 辩 4 | 盗 5 | 隐 6 | 瓜 7 | 镜 8 | 剩 9 | 

仙 : 盗 0 | 瓜 1 | 卓 2 | 剩 3 | 炮 4 | 帕 5 | 滋 6 | 彰 7 | 闲 8 | 缘 9 | 

妥 : 帕 0 | 彰 1 | 剩 2 | 缘 3 | 瓜 4 | 驾 5 | 盗 6 | 侧 7 | 卓 8 | 悲 9 | 

妈 : 驾 0 | 侧 1 | 缘 2 | 悲 3 | 彰 4 | 盲 5 | 帕 6 | 巩 7 | 剩 8 | 挪 9 | 

耶 : 盲 0 | 巩 1 | 悲 2 | 挪 3 | 侧 4 | 霍 5 | 驾 6 | 耀 7 | 缘 8 | 拜 9 | 

隔 : 霍 0 | 耀 1 | 挪 2 | 拜 3 | 巩 4 | 伸 5 | 盲 6 | 孤 7 | 悲 8 | 蒂 9 | 

伸 : 伸 0 | 孤 1 | 拜 2 | 蒂 3 | 耀 4 | 妹 5 | 霍 6 | 伪 7 | 挪 8 | 吕 9 | 

尾 : 妹 0 | 伪 1 | 蒂 2 | 吕 3 | 孤 4 | 稻 5 | 伸 6 | 牲 7 | 拜 8 | 闹 9 | 

磨 : 稻 0 | 牲 1 | 吕 2 | 闹 3 | 伪 4 | 圈 5 | 妹 6 | 慧 7 | 蒂 8 | 旋 9 | 

凤 : 圈 0 | 慧 1 | 闹 2 | 旋 3 | 牲 4 | 焦 5 | 稻 6 | 懈 7 | 吕 8 | 巧 9 | 

哲 : 焦 0 | 懈 1 | 旋 2 | 巧 3 | 慧 4 | 磨 5 | 圈 6 | 竹 7 | 闹 8 | 氏 9 | 

汤 : 磨 0 | 竹 1 | 巧 2 | 氏 3 | 懈 4 | 泡 5 | 焦 6 | 琛 7 | 旋 8 | 扰 9 | 

圈 : 泡 0 | 琛 1 | 氏 2 | 扰 3 | 竹 4 | 乔 5 | 磨 6 | 灌 7 | 巧 8 | 铜 9 | 

腾 : 乔 0 | 灌 1 | 扰 2 | 铜 3 | 琛 4 | 雕 5 | 泡 6 | 愈 7 | 氏 8 | 曹 9 | 

衷 : 雕 0 | 愈 1 | 铜 2 | 曹 3 | 灌 4 | 臣 5 | 乔 6 | 割 7 | 扰 8 | 滩 9 | 

凌 : 臣 0 | 割 1 | 曹 2 | 滩 3 | 愈 4 | 浦 5 | 雕 6 | 陵 7 | 铜 8 | 贩 9 | 

柴 : 浦 0 | 陵 1 | 滩 2 | 贩 3 | 割 4 | Ｓ 5 | 臣 6 | 郎 7 | 曹 8 | 衷 9 | 

霍 : Ｓ 0 | 郎 1 | 贩 2 | 衷 3 | 陵 4 | 凯 5 | 浦 6 | 摸 7 | 滩 8 | 绪 9 | 

寄 : 凯 0 | 摸 1 | 衷 2 | 绪 3 | 郎 4 | 耗 5 | Ｓ 6 | 恰 7 | 贩 8 | 郊 9 | 

夕 : 耗 0 | 恰 1 | 绪 2 | 郊 3 | 摸 4 | 漏 5 | 凯 6 | 汤 7 | 衷 8 | 榜 9 | 

框 : 漏 0 | 汤 1 | 郊 2 | 榜 3 | 恰 4 | 岭 5 | 耗 6 | 癌 7 | 绪 8 | 仓 9 | 

拟 : 岭 0 | 癌 1 | 榜 2 | 仓 3 | 汤 4 | 歧 5 | 漏 6 | 泳 7 | 郊 8 | 岩 9 | 

仿 : 歧 0 | 泳 1 | 仓 2 | 岩 3 | 癌 4 | 涵 5 | 岭 6 | 姜 7 | 榜 8 | 垃 9 | 

瓜 : 涵 0 | 姜 1 | 岩 2 | 垃 3 | 泳 4 | 琴 5 | 歧 6 | 君 7 | 仓 8 | 添 9 | 

钻 : 琴 0 | 君 1 | 垃 2 | 添 3 | 姜 4 | 戈 5 | 涵 6 | 丛 7 | 岩 8 | 偷 9 | 

驾 : 戈 0 | 丛 1 | 添 2 | 偷 3 | 君 4 | 圾 5 | 琴 6 | 岳 7 | 垃 8 | 纵 9 | 

症 : 圾 0 | 岳 1 | 偷 2 | 纵 3 | 丛 4 | 柳 5 | 戈 6 | 滚 7 | 添 8 | 驱 9 | 

溪 : 柳 0 | 滚 1 | 纵 2 | 驱 3 | 岳 4 | 桌 5 | 圾 6 | 舟 7 | 偷 8 | 贪 9 | 

淀 : 桌 0 | 舟 1 | 驱 2 | 贪 3 | 滚 4 | 惩 5 | 柳 6 | 勘 7 | 纵 8 | 液 9 | 

耗 : 惩 0 | 勘 1 | 贪 2 | 液 3 | 舟 4 | 孟 5 | 桌 6 | 壁 7 | 驱 8 | Ｉ 9 | 

歧 : 孟 0 | 壁 1 | 液 2 | Ｉ 3 | 勘 4 | 啊 5 | 惩 6 | 骗 7 | 贪 8 | 霞 9 | 

暗 : 啊 0 | 骗 1 | Ｉ 2 | 霞 3 | 壁 4 | 描 5 | 孟 6 | 涝 7 | 液 8 | Ｔ 9 | 

涨 : 描 0 | 涝 1 | 霞 2 | Ｔ 3 | 骗 4 | 颗 5 | 啊 6 | 弄 7 | Ｉ 8 | 剑 9 | 

昂 : 颗 0 | 弄 1 | Ｔ 2 | 剑 3 | 涝 4 | 扭 5 | 描 6 | 欲 7 | 霞 8 | 枚 9 | 

填 : 扭 0 | 欲 1 | 剑 2 | 枚 3 | 弄 4 | 舒 5 | 颗 6 | 辅 7 | Ｔ 8 | 闪 9 | 

霞 : 舒 0 | 辅 1 | 枚 2 | 闪 3 | 欲 4 | 豆 5 | 扭 6 | 鞋 7 | 剑 8 | 捷 9 | 

飘 : 豆 0 | 鞋 1 | 闪 2 | 捷 3 | 辅 4 | 芬 5 | 舒 6 | 锁 7 | 枚 8 | 湘 9 | 

