。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 
谱 : 霸 0 | 茅 1 | 赁 2 | 骚 3 | 垄 4 | 

崭 : 傲 0 | 挫 1 | 骚 2 | 脆 3 | 茅 4 | 

蕉 : 邯 0 | 坎 1 | 脆 2 | 抑 3 | 挫 4 | 

抛 : 垂 0 | 萍 1 | 抑 2 | 姚 3 | 坎 4 | 

幻 : 绳 0 | 竭 1 | 姚 2 | ＋ 3 | 萍 4 | 

帅 : 拦 0 | 韵 1 | ＋ 2 | 颂 3 | 竭 4 | 

仗 : 遣 0 | 腊 1 | 颂 2 | 斜 3 | 韵 4 | 

睹 : 冶 0 | 掀 1 | 斜 2 | 蕴 3 | 腊 4 | 

挣 : 幻 0 | 眉 1 | 蕴 2 | ○ 3 | 掀 4 | 

愁 : 儒 0 | 璃 1 | ○ 2 | 栋 3 | 眉 4 | 

勋 : 殷 0 | 鼠 1 | 栋 2 | 孝 3 | 璃 4 | 

芭 : 瓷 0 | 殿 1 | 孝 2 | 涂 3 | 鼠 4 | 

缉 : 逾 0 | 晰 1 | 涂 2 | Ｇ 3 | 殿 4 | 

喇 : 哀 0 | 丘 1 | Ｇ 2 | 聪 3 | 晰 4 | 

菊 : 蔓 0 | 膜 1 | 聪 2 | 掩 3 | 丘 4 | 

肆 : 乓 0 | 昼 1 | 掩 2 | 钩 3 | 膜 4 | 

酿 : 啤 0 | 呀 1 | 钩 2 | 缆 3 | 昼 4 | 

肝 : 薛 0 | 勋 1 | 缆 2 | 泄 3 | 呀 4 | 

菌 : 砍 0 | 昏 1 | 泄 2 | 魔 3 | 勋 4 | 

谐 : 酬 0 | 乙 1 | 魔 2 | 叔 3 | 昏 4 | 

邵 : 谭 0 | 匹 1 | 叔 2 | 灿 3 | 乙 4 | 

藤 : 乳 0 | 淑 1 | 灿 2 | 翁 3 | 匹 4 | 

沪 : 蕾 0 | 甸 1 | 翁 2 | 雇 3 | 淑 4 | 

醉 : 睹 0 | 搜 1 | 雇 2 | 纤 3 | 甸 4 | 

滴 : 卜 0 | 腹 1 | 纤 2 | 擅 3 | 搜 4 | 

惨 : 浇 0 | 哨 1 | 擅 2 | 肆 3 | 腹 4 | 

淤 : 杉 0 | 瘤 1 | 肆 2 | 踢 3 | 哨 4 | 

杉 : 婆 0 | 辣 1 | 踢 2 | 崔 3 | 瘤 4 | 

抒 : 豫 0 | 巷 1 | 崔 2 | 吞 3 | 辣 4 | 

臭 : 醉 0 | 雾 1 | 吞 2 | 祸 3 | 巷 4 | 

眉 : 谐 0 | 盒 1 | 祸 2 | 肝 3 | 雾 4 | 

洽 : 催 0 | 狮 1 | 肝 2 | 夸 3 | 盒 4 | 

雾 : 焕 0 | 踊 1 | 夸 2 | 衔 3 | 狮 4 | 

勉 : 浑 0 | ｅ 1 | 衔 2 | 窃 3 | 踊 4 | 

缅 : 戚 0 | 捧 1 | 窃 2 | 腔 3 | ｅ 4 | 

禹 : 卧 0 | 喀 1 | 腔 2 | 剪 3 | 捧 4 | 

浸 : 嫂 0 | 屠 1 | 剪 2 | 笼 3 | 喀 4 | 

龚 : 嫁 0 | 辜 1 | 笼 2 | 竣 3 | 屠 4 | 

殿 : 丑 0 | 弯 1 | 竣 2 | 拘 3 | 辜 4 | 

愧 : 寸 0 | 翔 1 | 拘 2 | 魄 3 | 弯 4 | 

巾 : 狗 0 | 铸 1 | 魄 2 | 诈 3 | 翔 4 | 

炳 : 柯 0 | Ｆ 1 | 诈 2 | 薪 3 | 铸 4 | 

啥 : 愁 0 | 斑 1 | 薪 2 | 愤 3 | Ｆ 4 | 

罐 : 厘 0 | 剥 1 | 愤 2 | 崭 3 | 斑 4 | 

翠 : 啡 0 | 恋 1 | 崭 2 | 狱 3 | 剥 4 | 

彬 : 钓 0 | 缅 1 | 狱 2 | 谦 3 | 恋 4 | 

拾 : 禽 0 | 葬 1 | 谦 2 | 奢 3 | 缅 4 | 

斑 : 聊 0 | 咖 1 | 奢 2 | 卸 3 | 葬 4 | 

拘 : 帆 0 | 尿 1 | 卸 2 | 辱 3 | 咖 4 | 

孕 : 歹 0 | 挨 1 | 辱 2 | 庸 3 | 尿 4 | 

沾 : 怒 0 | 尹 1 | 庸 2 | 赣 3 | 挨 4 | 

吞 : 捞 0 | 肇 1 | 赣 2 | 逮 3 | 尹 4 | 

Ｈ : 畔 0 | 澜 1 | 逮 2 | 淀 3 | 肇 4 | 

淹 : 沪 0 | 鸭 1 | 淀 2 | 廖 3 | 澜 4 | 

楠 : 涯 0 | 鼎 1 | 廖 2 | 邱 3 | 鸭 4 | 

猖 : 秉 0 | 翠 1 | 邱 2 | 泼 3 | 鼎 4 | 

嫁 : 囊 0 | 矶 1 | 泼 2 | 暨 3 | 翠 4 | 

叉 : 巾 0 | 炳 1 | 暨 2 | 枯 3 | 矶 4 | 

薪 : 勉 0 | 蚀 1 | 枯 2 | 芝 3 | 炳 4 | 

羽 : 饶 0 | 桩 1 | 芝 2 | 擦 3 | 蚀 4 | 

愤 : 崛 0 | 绸 1 | 擦 2 | 掏 3 | 桩 4 | 

冀 : 鹅 0 | 寂 1 | 掏 2 | 臂 3 | 绸 4 | 

劾 : 椅 0 | 逊 1 | 臂 2 | 寓 3 | 寂 4 | 

淑 : 雁 0 | 橡 1 | 寓 2 | 牡 3 | 逊 4 | 

募 : 圭 0 | 鹤 1 | 牡 2 | 沫 3 | 橡 4 | 

缆 : ｎ 0 | 趟 1 | 沫 2 | 吾 3 | 鹤 4 | 

滔 : 婴 0 | 肠 1 | 吾 2 | 砂 3 | 趟 4 | 

冤 : 扮 0 | 猫 1 | 砂 2 | 彬 3 | 肠 4 | 

恋 : 鄂 0 | 潭 1 | 彬 2 | 窑 3 | 猫 4 | 

饥 : 愉 0 | 肤 1 | 窑 2 | 疼 3 | 潭 4 | 

芝 : 帷 0 | 纱 1 | 疼 2 | 嘱 3 | 肤 4 | 

擦 : 抄 0 | 杏 1 | 嘱 2 | 溉 3 | 纱 4 | 

萃 : 垮 0 | 坤 1 | 溉 2 | 魁 3 | 杏 4 | 

冈 : 冀 0 | 樊 1 | 魁 2 | 阎 3 | 坤 4 | 

瞻 : 宰 0 | 辐 1 | 阎 2 | 筋 3 | 樊 4 | 

翰 : 刮 0 | 沧 1 | 筋 2 | 辨 3 | 辐 4 | 

桩 : 勾 0 | 幢 1 | 辨 2 | 萧 3 | 沧 4 | 

斥 : 悔 0 | 鞭 1 | 萧 2 | 猎 3 | 幢 4 | 

潭 : 鹰 0 | 芦 1 | 猎 2 | 旭 3 | 鞭 4 | 

凶 : 粹 0 | 蒸 1 | 旭 2 | 撼 3 | 芦 4 | 

谦 : 挚 0 | 芭 1 | 撼 2 | 斥 3 | 蒸 4 | 

ｎ : 狭 0 | 枣 1 | 斥 2 | 罐 3 | 芭 4 | 

屯 : 痕 0 | 饿 1 | 罐 2 | 蓉 3 | 枣 4 | 

卵 : 熙 0 | 咬 1 | 蓉 2 | 衍 3 | 饿 4 | 

灶 : 凑 0 | 叛 1 | 衍 2 | 肺 3 | 咬 4 | 

虐 : 圩 0 | 铃 1 | 肺 2 | 瘦 3 | 叛 4 | 

仑 : 饼 0 | ｔ 1 | 瘦 2 | 喻 3 | 铃 4 | 

椅 : 歉 0 | 瞬 1 | 喻 2 | 啥 3 | ｔ 4 | 

扇 : 恳 0 | 淤 1 | 啥 2 | 眠 3 | 瞬 4 | 

邯 : 藤 0 | 俞 1 | 眠 2 | 亨 3 | 淤 4 | 

沥 : 汕 0 | Ｌ 1 | 亨 2 | 韧 3 | 俞 4 | 

渣 : 奎 0 | 巍 1 | 韧 2 | 瞻 3 | Ｌ 4 | 

渝 : 崩 0 | 壳 1 | 瞻 2 | 穴 3 | 巍 4 | 

咸 : 剖 0 | 舱 1 | 穴 2 | 甫 3 | 壳 4 | 

硫 : 湛 0 | 呵 1 | 甫 2 | 芒 3 | 舱 4 | 

ｅ : 匈 0 | 碱 1 | 芒 2 | 躺 3 | 呵 4 | 

荫 : 脊 0 | 驳 1 | 躺 2 | 庐 3 | 碱 4 | 

巍 : 抒 0 | 歇 1 | 庐 2 | 弦 3 | 驳 4 | 

Ｌ : 枢 0 | 馨 1 | 弦 2 | 钧 3 | 歇 4 | 

萎 : 渤 0 | 奴 1 | 钧 2 | 宙 3 | 馨 4 | 

柯 : 悼 0 | 澄 1 | 宙 2 | 忌 3 | 奴 4 | 

墓 : 妨 0 | Ｈ 1 | 忌 2 | 扛 3 | 澄 4 | 

帷 : 荫 0 | 蔚 1 | 扛 2 | 拾 3 | Ｈ 4 | 

逊 : 霜 0 | 猜 1 | 拾 2 | ＊ 3 | 蔚 4 | 

鞠 : 襄 0 | 衬 1 | ＊ 2 | 叠 3 | 猜 4 | 

叠 : × 0 | 屯 1 | 叠 2 | 鄱 3 | 衬 4 | 

廖 : Ｋ 0 | 疯 1 | 鄱 2 | 咸 3 | 屯 4 | 

弦 : 岂 0 | 爽 1 | 咸 2 | ｏ 3 | 疯 4 | 

杠 : 谅 0 | 厕 1 | ｏ 2 | 饥 3 | 爽 4 | 

踊 : 侈 0 | 隧 1 | 饥 2 | 朽 3 | 厕 4 | 

瞄 : 陋 0 | 堰 1 | 朽 2 | 躯 3 | 隧 4 | 

撼 : 亟 0 | 芯 1 | 躯 2 | 袱 3 | 堰 4 | 

吟 : 慌 0 | 啦 1 | 袱 2 | 碌 3 | 芯 4 | 

蜂 : 厢 0 | 鞍 1 | 碌 2 | 捉 3 | 啦 4 | 

矾 : 鬼 0 | 邵 1 | 捉 2 | 摔 3 | 鞍 4 | 

遂 : 镑 0 | 蝶 1 | 摔 2 | 秧 3 | 邵 4 | 

抄 : 浴 0 | 砸 1 | 秧 2 | 鼻 3 | 蝶 4 | 

铝 : 陌 0 | 僚 1 | 鼻 2 | 赂 3 | 砸 4 | 

赈 : 窄 0 | 诫 1 | 赂 2 | 扔 3 | 僚 4 | 

匈 : 逸 0 | 竖 1 | 扔 2 | 颠 3 | 诫 4 | 

霖 : 莉 0 | 链 1 | 颠 2 | 膀 3 | 竖 4 | 

朔 : 刹 0 | 兢 1 | 膀 2 | 狼 3 | 链 4 | 

砸 : 舶 0 | 缠 1 | 狼 2 | 铝 3 | 兢 4 | 

芽 : 孜 0 | 炬 1 | 铝 2 | 濒 3 | 缠 4 | 

咬 : 桔 0 | 挠 1 | 濒 2 | 浆 3 | 炬 4 | 

枢 : 棒 0 | 渝 1 | 浆 2 | 傍 3 | 挠 4 | 

蜜 : 盯 0 | 虐 1 | 傍 2 | 臭 3 | 渝 4 | 

纱 : 惕 0 | 葱 1 | 臭 2 | 歪 3 | 虐 4 | 

畴 : 夷 0 | 娟 1 | 歪 2 | 莎 3 | 葱 4 | 

秆 : 绒 0 | 烽 1 | 莎 2 | 蜂 3 | 娟 4 | 

喧 : 秆 0 | 彪 1 | 蜂 2 | 泣 3 | 烽 4 | 

颤 : 祭 0 | 钞 1 | 泣 2 | 隶 3 | 彪 4 | 

臂 : 虾 0 | 遂 1 | 隶 2 | 筒 3 | 钞 4 | 

晃 : 闽 0 | 秸 1 | 筒 2 | 粤 3 | 遂 4 | 

鬼 : 丸 0 | 姻 1 | 粤 2 | 鲍 3 | 秸 4 | 

歪 : 恨 0 | ａ 1 | 鲍 2 | 蹲 3 | 姻 4 | 

苑 : 螺 0 | 肌 1 | 蹲 2 | 晒 3 | ａ 4 | 

吓 : 抹 0 | Ｗ 1 | 晒 2 | 卵 3 | 肌 4 | 

ｔ : 铢 0 | 沛 1 | 卵 2 | 斋 3 | Ｗ 4 | 

饿 : 垫 0 | 梨 1 | 斋 2 | 趁 3 | 沛 4 | 

缠 : 躲 0 | 淋 1 | 趁 2 | 珊 3 | 梨 4 | 

芒 : 颈 0 | 骂 1 | 珊 2 | Ｘ 3 | 淋 4 | 

牟 : 吟 0 | 曝 1 | Ｘ 2 | 崖 3 | 骂 4 | 

匙 : 叉 0 | 邢 1 | 崖 2 | 茵 3 | 曝 4 | 

呵 : 漳 0 | 厨 1 | 茵 2 | 拐 3 | 邢 4 | 

狼 : 俺 0 | 菇 1 | 拐 2 | ｉ 3 | 厨 4 | 

刹 : 苹 0 | 萎 1 | ｉ 2 | 慷 3 | 菇 4 | 

抹 : 恼 0 | 纹 1 | 慷 2 | 瑰 3 | 萎 4 | 

耸 : 恪 0 | 绥 1 | 瑰 2 | 躁 3 | 纹 4 | 

兔 : 宛 0 | 锣 1 | 躁 2 | ｒ 3 | 绥 4 | 

恨 : 渣 0 | 楷 1 | ｒ 2 | 椒 3 | 锣 4 | 

酝 : 猖 0 | 沂 1 | 椒 2 | 酝 3 | 楷 4 | 

赣 : 髓 0 | 铅 1 | 酝 2 | 遮 3 | 沂 4 | 

麓 : 馈 0 | 舌 1 | 遮 2 | Ｒ 3 | 铅 4 | 

绑 : 喧 0 | 斡 1 | Ｒ 2 | 衫 3 | 舌 4 | 

肌 : 粪 0 | 匠 1 | 衫 2 | 绎 3 | 斡 4 | 

焰 : 哄 0 | 迭 1 | 绎 2 | 汹 3 | 匠 4 | 

稚 : 缚 0 | 怡 1 | 汹 2 | 汝 3 | 迭 4 | 

抖 : 晃 0 | 雀 1 | 汝 2 | 禹 3 | 怡 4 | 

绥 : 肚 0 | 蛇 1 | 禹 2 | 阜 3 | 雀 4 | 

扯 : 喂 0 | 羡 1 | 阜 2 | 琪 3 | 蛇 4 | 

赃 : 栗 0 | 禄 1 | 琪 2 | 苑 3 | 羡 4 | 

瞒 : 倪 0 | 瘫 1 | 苑 2 | 寡 3 | 禄 4 | 

裤 : 痴 0 | 萌 1 | 寡 2 | 摧 3 | 瘫 4 | 

桓 : 冉 0 | 扇 1 | 摧 2 | 棠 3 | 萌 4 | 

忌 : 赌 0 | 沾 1 | 棠 2 | 嘛 3 | 扇 4 | 

晖 : 媳 0 | 伞 1 | 嘛 2 | 胃 3 | 沾 4 | 

碟 : 惧 0 | 灶 1 | 胃 2 | 闷 3 | 伞 4 | 

婉 : 驭 0 | 乾 1 | 闷 2 | 锤 3 | 灶 4 | 

躯 : 邪 0 | 噪 1 | 锤 2 | 婉 3 | 乾 4 | 

厌 : 尧 0 | 倘 1 | 婉 2 | 绑 3 | 噪 4 | 

奸 : 杠 0 | 扯 1 | 绑 2 | 喇 3 | 倘 4 | 

溜 : 裹 0 | 兔 1 | 喇 2 | 芽 3 | 扯 4 | 

慷 : 卉 0 | 裤 1 | 芽 2 | 蜜 3 | 兔 4 | 

梳 : 掠 0 | 棍 1 | 蜜 2 | 獗 3 | 裤 4 | 

兽 : 浊 0 | 沸 1 | 獗 2 | 鸽 3 | 棍 4 | 

绎 : 稚 0 | 彝 1 | 鸽 2 | 脂 3 | 沸 4 | 

俯 : 漓 0 | 漆 1 | 脂 2 | 耻 3 | 彝 4 | 

熏 : 鞠 0 | 汲 1 | 耻 2 | 敖 3 | 漆 4 | 

弓 : 稼 0 | 焰 1 | 敖 2 | 齿 3 | 汲 4 | 

躺 : 俘 0 | 溜 1 | 齿 2 | 嘎 3 | 焰 4 | 

▲ : 铲 0 | ｃ 1 | 嘎 2 | 醇 3 | 溜 4 | 

掺 : 钊 0 | 鑫 1 | 醇 2 | 踩 3 | ｃ 4 | 

斧 : 沼 0 | 恭 1 | 踩 2 | 巢 3 | 鑫 4 | 

罩 : 僻 0 | 寰 1 | 巢 2 | 霖 3 | 恭 4 | 

墅 : 樱 0 | 尸 1 | 霖 2 | 麟 3 | 寰 4 | 

僚 : 兽 0 | 昊 1 | 麟 2 | 陡 3 | 尸 4 | 

泾 : 龟 0 | 裔 1 | 陡 2 | 觅 3 | 昊 4 | 

铅 : － 0 | 泻 1 | 觅 2 | 绣 3 | 裔 4 | 

忱 : 桐 0 | 聂 1 | 绣 2 | 硫 3 | 泻 4 | 

馈 : 徊 0 | 邸 1 | 硫 2 | 瑟 3 | 聂 4 | 

帘 : 涅 0 | 烤 1 | 瑟 2 | 徘 3 | 邸 4 | 

裹 : 靖 0 | 肢 1 | 徘 2 | 浏 3 | 烤 4 | 

驴 : 曙 0 | 阀 1 | 浏 2 | 薯 3 | 肢 4 | 

秃 : 焚 0 | 咏 1 | 薯 2 | 蛮 3 | 阀 4 | 

沛 : 晕 0 | 吓 1 | 蛮 2 | 钉 3 | 咏 4 | 

ｃ : 郸 0 | 耘 1 | 钉 2 | 朔 3 | 吓 4 | 

琢 : 叭 0 | 赃 1 | 朔 2 | 扳 3 | 耘 4 | 

榴 : 愚 0 | 匙 1 | 扳 2 | 斐 3 | 赃 4 | 

璐 : 碳 0 | 晖 1 | 斐 2 | 冤 3 | 匙 4 | 

珊 : 奸 0 | 罩 1 | 冤 2 | 栖 3 | 晖 4 | 

姬 : 寥 0 | 熏 1 | 栖 2 | 捆 3 | 罩 4 | 

侗 : 侠 0 | 蛙 1 | 捆 2 | 诵 3 | 熏 4 | 

栖 : 洼 0 | 叮 1 | 诵 2 | 拢 3 | 蛙 4 | 

瑟 : 毯 0 | 擂 1 | 拢 2 | 榆 3 | 叮 4 | 

溶 : 甩 0 | 隙 1 | 榆 2 | 淫 3 | 擂 4 | 

崖 : 筛 0 | 拱 1 | 淫 2 | 熬 3 | 隙 4 | 

跻 : 钥 0 | 霉 1 | 熬 2 | 矮 3 | 拱 4 | 

樱 : 瞒 0 | 俯 1 | 矮 2 | 卒 3 | 霉 4 | 

壶 : 躬 0 | 葫 1 | 卒 2 | 饺 3 | 俯 4 | 

鹅 : 轴 0 | 汾 1 | 饺 2 | 寞 3 | 葫 4 | 

宠 : 曰 0 | 胖 1 | 寞 2 | 梭 3 | 汾 4 | 

暇 : 翅 0 | 簇 1 | 梭 2 | ▲ 3 | 胖 4 | 

潇 : 汁 0 | 攒 1 | ▲ 2 | 黔 3 | 簇 4 | 

钉 : 仇 0 | 肾 1 | 黔 2 | 抖 3 | 攒 4 | 

绚 : 倦 0 | 拯 1 | 抖 2 | 哗 3 | 肾 4 | 

崎 : 琦 0 | 糕 1 | 哗 2 | 皖 3 | 拯 4 | 

拢 : 溶 0 | 礁 1 | 皖 2 | 捍 3 | 糕 4 | 

聂 : 楠 0 | 阮 1 | 捍 2 | 埠 3 | 礁 4 | 

烫 : 搁 0 | 瑶 1 | 埠 2 | 颤 3 | 阮 4 | 

愚 : 痹 0 | 牟 1 | 颤 2 | 莹 3 | 瑶 4 | 

炕 : 翟 0 | 啸 1 | 莹 2 | 萃 3 | 牟 4 | 

鲍 : 畴 0 | 峙 1 | 萃 2 | 绚 3 | 啸 4 | 

ｍ : 帼 0 | 跋 1 | 绚 2 | 匾 3 | 峙 4 | 

贼 : 壶 0 | 榄 1 | 匾 2 | 哺 3 | 跋 4 | 

磷 : 烁 0 | 滇 1 | 哺 2 | 跻 3 | 榄 4 | 

噪 : 萝 0 | 逛 1 | 跻 2 | 厌 3 | 滇 4 | 

雀 : 讽 0 | 瞄 1 | 厌 2 | 灸 3 | 逛 4 | 

蚊 : 郝 0 | 筝 1 | 灸 2 | 滕 3 | 瞄 4 | 

赡 : 渎 0 | ｗ 1 | 滕 2 | 丙 3 | 筝 4 | 

氮 : 琢 0 | 暇 1 | 丙 2 | 簿 3 | ｗ 4 | 

攒 : 耸 0 | 缕 1 | 簿 2 | 矩 3 | 暇 4 | 

榻 : 芜 0 | ｌ 1 | 矩 2 | 蔽 3 | 缕 4 | 

姨 : 讳 0 | 睐 1 | 蔽 2 | 腻 3 | ｌ 4 | 

茵 : 盏 0 | 睁 1 | 腻 2 | 冕 3 | 睐 4 | 

哗 : 坠 0 | 沥 1 | 冕 2 | 璐 3 | 睁 4 | 

敷 : 嗓 0 | 襟 1 | 璐 2 | 纬 3 | 沥 4 | 

拴 : 谣 0 | 宵 1 | 纬 2 | 詹 3 | 襟 4 | 

痪 : 羞 0 | 潇 1 | 詹 2 | 峪 3 | 宵 4 | 

匀 : 凿 0 | 枉 1 | 峪 2 | 帘 3 | 潇 4 | 

楝 : 桦 0 | 旷 1 | 帘 2 | 坷 3 | 枉 4 | 

磅 : 燥 0 | 斧 1 | 坷 2 | 聋 3 | 旷 4 | 

毯 : 嚣 0 | ｓ 1 | 聋 2 | 穗 3 | 斧 4 | 

浊 : 蒲 0 | 犁 1 | 穗 2 | 潍 3 | ｓ 4 | 

牡 : 淌 0 | 橄 1 | 潍 2 | 尬 3 | 犁 4 | 

殴 : 尴 0 | 棘 1 | 尬 2 | 骆 3 | 橄 4 | 

琨 : 嵌 0 | 蚕 1 | 骆 2 | 苟 3 | 棘 4 | 

懒 : 喘 0 | 莞 1 | 苟 2 | 涩 3 | 蚕 4 | 

穴 : 豁 0 | 屿 1 | 涩 2 | 贞 3 | 莞 4 | 

呐 : 茬 0 | 瘾 1 | 贞 2 | 匪 3 | 屿 4 | 

拌 : 凳 0 | 烛 1 | 匪 2 | 哑 3 | 瘾 4 | 

鞍 : 膏 0 | 廿 1 | 哑 2 | 翩 3 | 烛 4 | 

诀 : 粘 0 | 碟 1 | 翩 2 | 孚 3 | 廿 4 | 

秭 : 昧 0 | 坟 1 | 孚 2 | 镶 3 | 碟 4 | 

椰 : 僧 0 | 笋 1 | 镶 2 | 咽 3 | 坟 4 | 

刁 : 撕 0 | 捡 1 | 咽 2 | 驼 3 | 笋 4 | 

袱 : 佑 0 | 煮 1 | 驼 2 | 磅 3 | 捡 4 | 

吵 : 轩 0 | 澧 1 | 磅 2 | 懒 3 | 煮 4 | 

杼 : 荧 0 | 闵 1 | 懒 2 | 墟 3 | 澧 4 | 

〉 : 菱 0 | 硅 1 | 墟 2 | 玫 3 | 闵 4 | 

楷 : 兜 0 | 瞧 1 | 玫 2 | 琅 3 | 硅 4 | 

鹭 : 磷 0 | 妆 1 | 琅 2 | 槐 3 | 瞧 4 | 

甬 : 矢 0 | 寇 1 | 槐 2 | 渍 3 | 妆 4 | 

凿 : 氮 0 | 吻 1 | 渍 2 | 槽 3 | 寇 4 | 

侮 : 裸 0 | 俏 1 | 槽 2 | 硝 3 | 吻 4 | 

糟 : 膝 0 | 媚 1 | 硝 2 | 窟 3 | 俏 4 | 

羞 : 徇 0 | 耿 1 | 窟 2 | 喉 3 | 媚 4 | 

烽 : 吵 0 | 缪 1 | 喉 2 | 辍 3 | 耿 4 | 

ｇ : 忱 0 | 茜 1 | 辍 2 | 妄 3 | 缪 4 | 

恤 : 烫 0 | 泵 1 | 妄 2 | 涡 3 | 茜 4 | 

斡 : 戌 0 | 灼 1 | 涡 2 | 腺 3 | 泵 4 | 

耿 : ｍ 0 | 啃 1 | 腺 2 | 凰 3 | 灼 4 | 

淌 : 蒜 0 | 踞 1 | 凰 2 | 岱 3 | 啃 4 | 

剔 : 彤 0 | 猴 1 | 岱 2 | 靶 3 | 踞 4 | 

铢 : 糟 0 | 佼 1 | 靶 2 | ｐ 3 | 猴 4 | 

觅 : 秽 0 | 焊 1 | ｐ 2 | 砌 3 | 佼 4 | 

凳 : 卑 0 | 娥 1 | 砌 2 | 仑 3 | 焊 4 | 

虞 : 泌 0 | 拂 1 | 仑 2 | 椰 3 | 娥 4 | 

襄 : 捏 0 | 鸦 1 | 椰 2 | 炯 3 | 拂 4 | 

阀 : 赐 0 | 昕 1 | 炯 2 | 雯 3 | 鸦 4 | 

铮 : 挝 0 | 溯 1 | 雯 2 | 迢 3 | 昕 4 | 

俺 : Ｕ 0 | 暮 1 | 迢 2 | 轧 3 | 溯 4 | 

纂 : 痪 0 | 崎 1 | 轧 2 | 盎 3 | 暮 4 | 

侃 : 炊 0 | 缸 1 | 盎 2 | 玄 3 | 崎 4 | 

湄 : 焉 0 | 璞 1 | 玄 2 | 娇 3 | 缸 4 | 

廿 : 狐 0 | 拣 1 | 娇 2 | 砚 3 | 璞 4 | 

熬 : 铮 0 | 揣 1 | 砚 2 | 唇 3 | 拣 4 | 

逗 : 忡 0 | 秤 1 | 唇 2 | 祈 3 | 揣 4 | 

亵 : 笛 0 | 禅 1 | 祈 2 | 蓓 3 | 秤 4 | 

嗓 : 絮 0 | 媛 1 | 蓓 2 | 惹 3 | 禅 4 | 

咋 : 咐 0 | 敷 1 | 惹 2 | 惫 3 | 媛 4 | 

钮 : 侃 0 | 葆 1 | 惫 2 | 脖 3 | 敷 4 | 

邕 : 赦 0 | 〉 1 | 脖 2 | 褚 3 | 葆 4 | 

凰 : 镐 0 | 傻 1 | 褚 2 | 氨 3 | 〉 4 | 

骆 : 裙 0 | 沐 1 | 氨 2 | 妍 3 | 傻 4 | 

翩 : 俑 0 | 麓 1 | 妍 2 | 眶 3 | 沐 4 | 

峭 : 〈 0 | 蝇 1 | 眶 2 | 慑 3 | 麓 4 | 

岱 : 渥 0 | 渭 1 | 慑 2 | 瑚 3 | 蝇 4 | 

捏 : 芹 0 | 荟 1 | 瑚 2 | 珀 3 | 渭 4 | 

炯 : 谆 0 | 呕 1 | 珀 2 | 怜 3 | 荟 4 | 

倦 : 删 0 | 屑 1 | 怜 2 | 眷 3 | 呕 4 | 

斩 : 眺 0 | 茄 1 | 眷 2 | 腑 3 | 屑 4 | 

氯 : 脾 0 | 墅 1 | 腑 2 | 刃 3 | 茄 4 | 

岷 : 妮 0 | 扼 1 | 刃 2 | 酋 3 | 墅 4 | 

雯 : 剿 0 | 凸 1 | 酋 2 | 蜡 3 | 扼 4 | 

鸦 : 杼 0 | 遐 1 | 蜡 2 | 浒 3 | 凸 4 | 

桷 : 沦 0 | 舸 1 | 浒 2 | 熔 3 | 遐 4 | 

佟 : 烹 0 | 嚼 1 | 熔 2 | 澈 3 | 舸 4 | 

陛 : 聆 0 | 沓 1 | 澈 2 | 呐 3 | 嚼 4 | 

桔 : 锈 0 | 攘 1 | 呐 2 | 浚 3 | 沓 4 | 

冕 : 哩 0 | 匿 1 | 浚 2 | 柑 3 | 攘 4 | 

紊 : 剔 0 | △ 1 | 柑 2 | 咋 3 | 匿 4 | 

卒 : 匡 0 | 枕 1 | 咋 2 | 爵 3 | △ 4 | 

梧 : 豹 0 | 贮 1 | 爵 2 | 秃 3 | 枕 4 | 

缤 : 驿 0 | 苛 1 | 秃 2 | 诀 3 | 贮 4 | 

凛 : 辄 0 | 乍 1 | 诀 2 | 跪 3 | 苛 4 | 

壑 : 姨 0 | ‰ 1 | 跪 2 | 讶 3 | 乍 4 | 

泵 : 茹 0 | 胚 1 | 讶 2 | 墩 3 | ‰ 4 | 

瑰 : 庚 0 | ｕ 1 | 墩 2 | 惟 3 | 胚 4 | 

跆 : 谜 0 | 椎 1 | 惟 2 | 娅 3 | ｕ 4 | 

拣 : 耽 0 | 抉 1 | 娅 2 | 杖 3 | 椎 4 | 

仕 : 搅 0 | 赉 1 | 杖 2 | 蝴 3 | 抉 4 | 

睫 : 诲 0 | 涧 1 | 蝴 2 | 苇 3 | 赉 4 | 

猴 : 缀 0 | 贻 1 | 苇 2 | 戎 3 | 涧 4 | 

沁 : 沽 0 | 凄 1 | 戎 2 | 斩 3 | 贻 4 | 

峙 : 宠 0 | 泸 1 | 斩 2 | 煞 3 | 凄 4 | 

氨 : 扒 0 | 霄 1 | 煞 2 | 纂 3 | 泸 4 | 

焉 : 峭 0 | 兮 1 | 纂 2 | 酱 3 | 霄 4 | 

