。 : 。 0 | 、 1 | 的 2 | 
腕 : 钮 0 | 臻 1 | 腕 2 | 

摒 : 颐 0 | 靡 1 | 砥 2 | 

莺 : 烘 0 | 掺 1 | 榻 2 | 

颐 : 绞 0 | 渺 1 | 屹 2 | 

衅 : 烯 0 | 蹦 1 | ｈ 2 | 

粪 : 柿 0 | 惶 1 | 琐 2 | 

啸 : 哇 0 | 竿 1 | 梧 2 | 

侣 : 傣 0 | 衢 1 | 雏 2 | 

媛 : 韶 0 | 淳 1 | 咄 2 | 

髦 : 栩 0 | 瓣 1 | 矣 2 | 

哉 : 踵 0 | 洙 1 | 祺 2 | 

肾 : 虞 0 | 曦 1 | 韬 2 | 

葆 : 讴 0 | 凛 1 | 涪 2 | 

陲 : 缤 0 | 隘 1 | 榨 2 | 

夷 : 篆 0 | 窜 1 | 氢 2 | 

岔 : 庇 0 | 贼 1 | 氟 2 | 

咐 : 裴 0 | 矗 1 | 毋 2 | 

菏 : 坍 0 | 巫 1 | 漪 2 | 

邃 : 蚊 0 | 堕 1 | 蜀 2 | 

娅 : 棺 0 | 吼 1 | 炕 2 | 

篓 : 碘 0 | 皱 1 | 恙 2 | 

诠 : 瀑 0 | 盔 1 | 仕 2 | 

蠢 : 孵 0 | 冼 1 | 匮 2 | 

胥 : 沁 0 | 锹 1 | 犬 2 | 

瑜 : 烨 0 | 瀚 1 | 瑜 2 | 

琐 : 蹄 0 | 铎 1 | 怠 2 | 

猥 : 潢 0 | 紊 1 | 淄 2 | 

苛 : 窘 0 | 羁 1 | 殡 2 | 

跤 : 辙 0 | 绽 1 | 滤 2 | 

隙 : 贱 0 | ｄ 1 | 毗 2 | 

淆 : 礴 0 | 恤 1 | 梳 2 | 

酱 : 祁 0 | 帖 1 | 甬 2 | 

筝 : 勿 0 | 崴 1 | 郡 2 | 

佣 : 逗 0 | 寝 1 | 钙 2 | 

啼 : 肴 0 | 桓 1 | 潺 2 | 

匡 : 耍 0 | 侄 1 | 揪 2 | 

坯 : 蕉 0 | 筐 1 | 劈 2 | 

趴 : 棕 0 | 亢 1 | 眸 2 | 

抠 : Ｙ 0 | 馒 1 | 炜 2 | 

笃 : 禾 0 | 佣 1 | 筷 2 | 

漉 : 掷 0 | 镀 1 | 殴 2 | 

侄 : 恍 0 | 锚 1 | 澡 2 | 

盏 : 摒 0 | 弓 1 | 绰 2 | 

痫 : 籽 0 | 褐 1 | 瘠 2 | 

钊 : 哉 0 | 辗 1 | 骏 2 | 

佑 : 亥 0 | 汶 1 | 氓 2 | 

迩 : 篪 0 | 荔 1 | 锯 2 | 

皱 : 藉 0 | 拌 1 | 膊 2 | 

炜 : 炽 0 | 莓 1 | 滦 2 | 

掷 : 譬 0 | 穹 1 | 簸 2 | 

涅 : 锄 0 | 娄 1 | 溅 2 | 

孵 : 胳 0 | 璀 1 | 蚁 2 | 

窘 : 娩 0 | 漾 1 | 峦 2 | 

椎 : 刁 0 | 憋 1 | 窖 2 | 

潢 : 焘 0 | 娴 1 | 枫 2 | 

绮 : 璨 0 | 夭 1 | ─ 2 | 

刨 : 跤 0 | 疮 1 | 囚 2 | 

蒗 : 圃 0 | 莽 1 | 蝉 2 | 

酵 : 悖 0 | 渲 1 | 坞 2 | 

侠 : 涤 0 | 猩 1 | 撬 2 | 

翘 : 斓 0 | 拙 1 | 噬 2 | 

芹 : 澎 0 | 髦 1 | 棣 2 | 

① : 鲤 0 | 翘 1 | 侮 2 | 

镌 : 鳗 0 | 劾 1 | 藻 2 | 

擂 : 锲 0 | 蚌 1 | 暹 2 | 

蓓 : 倚 0 | 栾 1 | 栓 2 | 

坞 : 椿 0 | 梗 1 | ① 2 | 

摹 : 憬 0 | 坯 1 | 祠 2 | 

扒 : 隋 0 | 煽 1 | 姥 2 | 

涡 : 捎 0 | 蜒 1 | 捣 2 | 

俨 : 镌 0 | 诠 1 | 颓 2 | 

榕 : 乞 0 | 夯 1 | 袍 2 | 

湃 : 憨 0 | 邑 1 | ② 2 | 

梓 : 氯 0 | 蠢 1 | 嘲 2 | 

泗 : 岔 0 | 痒 1 | 祷 2 | 

驿 : 榕 0 | 漩 1 | 槟 2 | 

柑 : 瘁 0 | 纫 1 | 町 2 | 

锚 : 鹭 0 | Ｊ 1 | 瑾 2 | 

铱 : 橱 0 | 缮 1 | 蜿 2 | 

蜡 : 峨 0 | 歼 1 | 熄 2 | 

滦 : 乖 0 | 壑 1 | 哟 2 | 

鳅 : 蟹 0 | 鳞 1 | 谛 2 | 

迢 : 蘑 0 | 咀 1 | 憧 2 | 

藉 : 帧 0 | 吏 1 | 皎 2 | 

弧 : 冗 0 | 鸥 1 | 娶 2 | 

钰 : 矫 0 | 拴 1 | 咕 2 | 

痰 : 爪 0 | 恬 1 | 刨 2 | 

惋 : 侍 0 | 惦 1 | 喃 2 | 

婷 : 巅 0 | 雍 1 | 畸 2 | 

霆 : 腥 0 | 梢 1 | 褒 2 | 

峥 : 娓 0 | 骥 1 | 熠 2 | 

萤 : 嚷 0 | 骋 1 | 骸 2 | 

醋 : 肘 0 | 疤 1 | 泞 2 | 

榨 : 鹊 0 | 瑛 1 | 抨 2 | 

澎 : 侥 0 | 缭 1 | 檐 2 | 

锲 : 岐 0 | 谬 1 | 猿 2 | 

倚 : ③ 0 | 匀 1 | 酵 2 | 

溅 : 檀 0 | 侗 1 | 倩 2 | 

臧 : 臃 0 | 迂 1 | 哮 2 | 

玫 : 衅 0 | 敛 1 | 皑 2 | 

蛀 : 毓 0 | 囿 1 | 麋 2 | 

槌 : 虔 0 | 廓 1 | 陲 2 | 

侍 : 绊 0 | 垣 1 | 霓 2 | 

贻 : 庵 0 | 梓 1 | 窥 2 | 

藁 : 蝎 0 | 啼 1 | 拎 2 | 

徜 : 胧 0 | 朦 1 | 泓 2 | 

掰 : 曳 0 | 篡 1 | 碾 2 | 

诙 : 袜 0 | 愣 1 | 陀 2 | 

泸 : 侣 0 | 殉 1 | 沅 2 | 

啪 : 饪 0 | 槛 1 | 锌 2 | 

③ : 咎 0 | 谎 1 | 婿 2 | 

拎 : 伺 0 | 屁 1 | 擀 2 | 

矫 : 鲸 0 | 窍 1 | 粟 2 | 

瞪 : 酶 0 | 邃 1 | 柄 2 | 

祁 : 睫 0 | 酥 1 | 薇 2 | 

揪 : 摹 0 | 禺 1 | 挟 2 | 

挟 : 拮 0 | 煎 1 | 孰 2 | 

嵘 : 勺 0 | 扁 1 | 铉 2 | 

狡 : 瞎 0 | 酌 1 | 磕 2 | 

虔 : 瞰 0 | 寐 1 | 恕 2 | 

辗 : 谧 0 | 橙 1 | 舅 2 | 

陨 : 晾 0 | 莘 1 | 阂 2 | 

嘘 : 伫 0 | 瀛 1 | 摞 2 | 

舅 : 茧 0 | 琉 1 | 萦 2 | 

燮 : 稠 0 | 泾 1 | 樟 2 | 

兀 : 郅 0 | 炫 1 | 湃 2 | 

廓 : 搀 0 | 靳 1 | 偌 2 | 

穹 : 炙 0 | 诙 1 | 酣 2 | 

馒 : 痰 0 | 戍 1 | 雹 2 | 

诽 : 宕 0 | 伽 1 | 噩 2 | 

辫 : 窦 0 | 糙 1 | 湍 2 | 

轶 : 雌 0 | 悍 1 | 诿 2 | 

芋 : 弈 0 | 蔗 1 | 驹 2 | 

哮 : 阪 0 | 袒 1 | 嗜 2 | 

谤 : 沱 0 | 蔼 1 | 瞪 2 | 

岌 : 拧 0 | 柚 1 | 铨 2 | 

骋 : 翌 0 | 芙 1 | 陇 2 | 

粱 : 撂 0 | 缜 1 | 飙 2 | 

驹 : 鏖 0 | 揉 1 | 榴 2 | 

拄 : 谍 0 | 叩 1 | 弧 2 | 

炙 : 涿 0 | 烙 1 | 趴 2 | 

撮 : 黯 0 | 洱 1 | 殆 2 | 

眶 : 赡 0 | 瘟 1 | 憩 2 | 

栩 : 璧 0 | 汩 1 | 姬 2 | 

恬 : 咆 0 | 濡 1 | 逞 2 | 

袤 : 膛 0 | 墒 1 | 笨 2 | 

妖 : 霏 0 | 擎 1 | 驯 2 | 

蓦 : 棱 0 | 殃 1 | 擒 2 | 

琶 : 铀 0 | 钾 1 | 毙 2 | 

媲 : 舫 0 | 蜚 1 | 煦 2 | 

褥 : 姊 0 | 垠 1 | 瓢 2 | 

‰ : 醋 0 | 谙 1 | 岌 2 | 

瓣 : 莺 0 | 璋 1 | 驴 2 | 

蚌 : 砺 0 | 犷 1 | 颅 2 | 

膛 : 涣 0 | 郴 1 | 铱 2 | 

淇 : 垛 0 | 瑙 1 | 馓 2 | 

濮 : 闺 0 | 诬 1 | 纶 2 | 

屎 : 吆 0 | 诣 1 | 疚 2 | 

荤 : 沮 0 | 缨 1 | 茁 2 | 

逍 : 榭 0 | 埂 1 | 拄 2 | 

糯 : 羔 0 | 秭 1 | 婺 2 | 

钛 : 拇 0 | 臧 1 | 骇 2 | 

贱 : 迸 0 | 袤 1 | 牦 2 | 

釜 : 粽 0 | 叨 1 | 馁 2 | 

谆 : 涟 0 | 斟 1 | 捅 2 | 

亢 : 肪 0 | 绮 1 | 坂 2 | 

跚 : 釉 0 | 瞿 1 | 砀 2 | 

毡 : 磐 0 | 袅 1 | 芮 2 | 

殃 : 札 0 | 凹 1 | 〔 2 | 

钎 : 瘩 0 | 〕 1 | 咫 2 | 

赊 : 冥 0 | 驮 1 | 隅 2 | 

茧 : 酮 0 | 煜 1 | 兖 2 | 

兮 : 馋 0 | 饵 1 | 笃 2 | 

烨 : 汀 0 | 瞅 1 | 绯 2 | 

酥 : 嘹 0 | 镰 1 | 睿 2 | 

祠 : 爹 0 | 粱 1 | 溺 2 | 

窿 : 抠 0 | 戳 1 | 哦 2 | 

擎 : 钵 0 | 楹 1 | 萋 2 | 

蜕 : 腌 0 | 馅 1 | 殚 2 | 

帧 : 桨 0 | 臆 1 | 绅 2 | 

噜 : 褪 0 | 疙 1 | 梵 2 | 

丞 : 筱 0 | 绷 1 | 怯 2 | 

咆 : 蝗 0 | 犊 1 | 蕊 2 | 

捎 : 锵 0 | 嘘 1 | 铿 2 | 

蹴 : ｙ 0 | 掣 1 | 婷 2 | 

惶 : 蒿 0 | 苯 1 | 胺 2 | 

浒 : 栉 0 | 惋 1 | 泗 2 | 

睇 : 粥 0 | 蹊 1 | 毡 2 | 

疤 : 迥 0 | 窒 1 | 玺 2 | 

翌 : 佟 0 | 菏 1 | 搂 2 | 

猿 : 唁 0 | 奕 1 | 弋 2 | 

粕 : 嗬 0 | 扉 1 | 袂 2 | 

④ : 蔑 0 | 褥 1 | 祛 2 | 

迤 : 虏 0 | 柘 1 | 赊 2 | 

洮 : 羚 0 | 俨 1 | 拷 2 | 

裳 : 舵 0 | 遴 1 | 犀 2 | 

阙 : │ 0 | 胫 1 | 皂 2 | 

珀 : 囡 0 | 迩 1 | 伶 2 | 

漩 : 狄 0 | 恣 1 | 谚 2 | 

匣 : 搓 0 | 涸 1 | 卞 2 | 

殉 : 蓟 0 | 篱 1 | 篓 2 | 

炫 : 佰 0 | 徕 1 | 弛 2 | 

戛 : 闰 0 | 飓 1 | 蹬 2 | 

勐 : 亵 0 | 笺 1 | 眨 2 | 

汩 : 袄 0 | 锢 1 | 濮 2 | 

楞 : 钰 0 | 祀 1 | 鲥 2 | 

嗤 : 狸 0 | 徉 1 | 姗 2 | 

屁 : 怅 0 | 蚂 1 | 徜 2 | 

郅 : 眯 0 | 藕 1 | Ｚ 2 | 

祈 : 舷 0 | 燮 1 | 冽 2 | 

毙 : 奚 0 | 奄 1 | 媲 2 | 

坍 : 褂 0 | 酯 1 | 皓 2 | 

霓 : 鹃 0 | 岖 1 | 珑 2 | 

偕 : 羌 0 | 鲨 1 | 崽 2 | 

哇 : 诡 0 | 薰 1 | 蛀 2 | 

瀛 : 钳 0 | 烷 1 | 翱 2 | 

砾 : 痫 0 | 脐 1 | 赝 2 | 

奚 : 哼 0 | 宓 1 | 腮 2 | 

蔼 : 兀 0 | 燎 1 | 熹 2 | 

诧 : 啧 0 | 陨 1 | 镛 2 | 

黝 : 鄙 0 | 怦 1 | 徙 2 | 

虏 : 惰 0 | 掬 1 | 攸 2 | 

惭 : 骼 0 | 癫 1 | 甄 2 | 

搂 : 潼 0 | ｋ 1 | 厮 2 | 

撵 : 蜕 0 | 拽 1 | 帚 2 | 

玷 : 祟 0 | 黝 1 | ｇ 2 | 

椭 : 纭 0 | 锰 1 | 钝 2 | 

羹 : 藜 0 | Ⅲ 1 | 桢 2 | 

窦 : 吱 0 | 漉 1 | 泱 2 | 

邬 : 幌 0 | 瓯 1 | 亘 2 | 

茸 : 哽 0 | 裳 1 | 呱 2 | 

娣 : 胰 0 | 撩 1 | 籁 2 | 

鳖 : 迦 0 | 嘀 1 | 膳 2 | 

嗜 : 淅 0 | 茸 1 | 飨 2 | 

蔷 : 丫 0 | 鄢 1 | 锥 2 | 

敖 : 铤 0 | 婪 1 | 偃 2 | 

耄 : 逍 0 | 憎 1 | 掂 2 | 

嗅 : 佤 0 | 嗣 1 | 惭 2 | 

狸 : 骅 0 | 倔 1 | 葵 2 | 

丐 : 嫉 0 | 涓 1 | 吭 2 | 

掂 : 垢 0 | 脍 1 | 篝 2 | 

酶 : 菁 0 | 凋 1 | 琶 2 | 

馁 : 讥 0 | 胥 1 | 蹴 2 | 

芥 : 篑 0 | 幄 1 | ｆ 2 | 

靓 : 悸 0 | 羲 1 | 猝 2 | 

薹 : 耄 0 | 缰 1 | 鱿 2 | 

伶 : 跷 0 | 荞 1 | 夙 2 | 

窒 : 邬 0 | 衙 1 | ｂ 2 | 

枰 : 筏 0 | 耋 1 | 掰 2 | 

砭 : Ⅱ 0 | 懦 1 | 薹 2 | 

昶 : 缎 0 | 惬 1 | 黛 2 | 

阂 : 恺 0 | 狡 1 | 莆 2 | 

怅 : 藩 0 | 忻 1 | 咳 2 | 

葩 : 芸 0 | 氰 1 | Ｑ 2 | 

疱 : 蛟 0 | 溧 1 | 嵘 2 | 

臃 : 卦 0 | 倏 1 | 淼 2 | 

珑 : 瓴 0 | 膺 1 | 睽 2 | 

ｂ : 瑕 0 | 祚 1 | 裘 2 | 

ｆ : 蛛 0 | 溥 1 | 阖 2 | 

愕 : 喳 0 | 恃 1 | 屎 2 | 

糠 : 偎 0 | 啪 1 | 讹 2 | 

赳 : 噢 0 | 楞 1 | 觐 2 | 

铄 : 苔 0 | 剽 1 | 枷 2 | 

窨 : 鬓 0 | 嗡 1 | 荼 2 | 

攥 : 撇 0 | 绢 1 | 遨 2 | 

簌 : 榈 0 | 禧 1 | 瞥 2 | 

箴 : 侏 0 | 唾 1 | 眩 2 | 

酚 : 洮 0 | 噶 1 | 裨 2 | 

翡 : 惮 0 | 鲫 1 | 飒 2 | 

骛 : 琵 0 | 陉 1 | 捂 2 | 

怦 : 粼 0 | 匝 1 | 橘 2 | 

圪 : 覃 0 | 潞 1 | 愕 2 | 

氚 : 樵 0 | 喋 1 | 娣 2 | 

偎 : 拭 0 | 靴 1 | 捺 2 | 

麒 : 嘻 0 | 蚩 1 | 攥 2 | 

琉 : 仃 0 | 趾 1 | 芋 2 | 

雌 : 淆 0 | 孺 1 | 稷 2 | 

拈 : 茎 0 | 胄 1 | 冢 2 | 

─ : 笙 0 | 囤 1 | 抡 2 | 

熹 : 鳖 0 | 谏 1 | 晦 2 | 

Ⅱ : 釜 0 | 谟 1 | 忏 2 | 

胺 : 鸫 0 | 赎 1 | 眈 2 | 

捺 : 呻 0 | 遒 1 | 镍 2 | 

蚂 : 淦 0 | 扈 1 | 泯 2 | 

栌 : 钛 0 | 钠 1 | 咒 2 | 

菩 : 箫 0 | 惚 1 | 铡 2 | 

叽 : 苞 0 | 绛 1 | 霭 2 | 

赅 : 珩 0 | 牍 1 | 圻 2 | 

腈 : 嘶 0 | 簧 1 | 罹 2 | 

晌 : 芷 0 | 阱 1 | 锂 2 | 

懵 : 湮 0 | 咧 1 | 孢 2 | 

掖 : 蠡 0 | 孀 1 | 猕 2 | 

颍 : ④ 0 | 妃 1 | 杞 2 | 

焖 : 舜 0 | 挎 1 | 郜 2 | 

漱 : 迤 0 | 珞 1 | 囱 2 | 

淅 : 匣 0 | 丐 1 | 玖 2 | 

疹 : 疟 0 | 茏 1 | 惘 2 | 

殚 : 咚 0 | 菠 1 | 咛 2 | 

睬 : 撮 0 | 妖 1 | 铧 2 | 

谕 : 畈 0 | 荀 1 | 碉 2 | 

禺 : 蘸 0 | 掖 1 | 汨 2 | 

笙 : 叽 0 | 伉 1 | 逶 2 | 

嘶 : 庶 0 | 郧 1 | 弼 2 | 

鲟 : 杷 0 | 阙 1 | 箍 2 | 

芸 : 豉 0 | 偕 1 | 枇 2 | 

孽 : 豚 0 | 瓮 1 | 蹼 2 | 

耙 : 趸 0 | 嘈 1 | 嘿 2 | 

娲 : 漯 0 | 疵 1 | 荃 2 | 

愫 : 铄 0 | 屉 1 | 韫 2 | 

蓿 : 嗒 0 | 畹 1 | 厥 2 | 

嶙 : 沭 0 | 逵 1 | 钺 2 | 

镍 : 掐 0 | 嫖 1 | 簌 2 | 

阄 : 嘟 0 | 娑 1 | 懵 2 | 

僮 : 佬 0 | 谒 1 | 翥 2 | 

酗 : 嶙 0 | 糯 1 | 呜 2 | 

剽 : 颊 0 | 莠 1 | 妞 2 | 

蹭 : 茗 0 | 诧 1 | 螃 2 | 

豌 : 炖 0 | 疹 1 | 葩 2 | 

恿 : 晏 0 | 罄 1 | 辫 2 | 

裘 : 粑 0 | 壕 1 | 椭 2 | 

亘 : 鳌 0 | 柠 1 | 阑 2 | 

烬 : 吝 0 | 戛 1 | 玷 2 | 

楣 : 锨 0 | 呛 1 | 俳 2 | 

涿 : 浠 0 | 漱 1 | 诤 2 | 

怂 : 杈 0 | 槌 1 | 莜 2 | 

ｘ : 孳 0 | 坳 1 | 淇 2 | 

饽 : 蜓 0 | 琬 1 | 昙 2 | 

汀 : 狩 0 | 癣 1 | 蜻 2 | 

糅 : 砝 0 | 懿 1 | 咪 2 | 

檀 : 楣 0 | 蓦 1 | 皋 2 | 

唁 : 伎 0 | 陛 1 | 沌 2 | 

俣 : 峋 0 | 莒 1 | 窨 2 | 

隍 : 邝 0 | 峥 1 | 遁 2 | 

撬 : 嵩 0 | 瞠 1 | 惴 2 | 

撩 : ［ 0 | 籼 1 | 粕 2 | 

铿 : 亳 0 | 庥 1 | 燧 2 | 

茜 : 瘪 0 | 臼 1 | 滁 2 | 

钺 : 鳄 0 | 摁 1 | 嗅 2 | 

枥 : 霆 0 | 佘 1 | 脯 2 | 

ｖ : 咯 0 | 圪 1 | 嚓 2 | 

墒 : 妒 0 | ］ 1 | 馍 2 | 

炖 : 痼 0 | 钴 1 | 翡 2 | 

藩 : 銮 0 | 罔 1 | 擞 2 | 

脓 : 铐 0 | 挞 1 | 孪 2 | 

箫 : 咤 0 | 羹 1 | 懋 2 | 

泔 : 糜 0 | 滂 1 | 钎 2 | 

鹦 : 惆 0 | 叱 1 | 糠 2 | 

摈 : 耙 0 | 愫 1 | 睬 2 | 

芷 : 徨 0 | 祯 1 | 猾 2 | 

萋 : 懊 0 | 藁 1 | 蜗 2 | 

倜 : 矍 0 | 钒 1 | 枞 2 | 

荚 : 蹭 0 | 箴 1 | 豌 2 | 

氦 : 汞 0 | 貂 1 | 哎 2 | 

唉 : 腆 0 | 轼 1 | 峒 2 | 

蹉 : 彷 0 | 岑 1 | 稣 2 | 

瞑 : 铂 0 | 岫 1 | 弭 2 | 

郴 : 暧 0 | 噼 1 | 轶 2 | 

磬 : 跆 0 | 戮 1 | 岷 2 | 

娑 : 蔺 0 | 赳 1 | 铬 2 | 

腆 : 蜇 0 | 鸠 1 | 孽 2 | 

娆 : 忑 0 | 塬 1 | 弩 2 | 

郜 : 甭 0 | 栈 1 | 跺 2 | 

呻 : 忐 0 | 膑 1 | 楫 2 | 

浣 : 腼 0 | 跚 1 | 嗦 2 | 

簧 : 蹒 0 | 蹋 1 | 嫣 2 | 

羌 : 撷 0 | 聩 1 | 辘 2 | 

宓 : 甥 0 | 菅 1 | 镁 2 | 

莒 : 胤 0 | 椽 1 | 狙 2 | 

笮 : 蔫 0 | 砭 1 | 哆 2 | 

笞 : 霾 0 | 笪 1 | 陂 2 | 

遒 : 糅 0 | 诋 1 | 鹜 2 | 

铧 : 硼 0 | 丕 1 | 噙 2 | 

蟾 : 牒 0 | 躇 1 | 熨 2 | 

囿 : 琨 0 | 嵊 1 | 踌 2 | 

麾 : 稔 0 | 盂 1 | 岿 2 | 

袄 : 妊 0 | ┃ 1 | 卯 2 | 

喃 : 珲 0 | 砾 1 | 猥 2 | 

旖 : 笆 0 | 玮 1 | 暄 2 | 

诋 : 焯 0 | 褶 1 | 怏 2 | 

瑕 : 鬃 0 | 荤 1 | 肮 2 | 

隽 : 拗 0 | 葺 1 | 箩 2 | 

獭 : 浔 0 | 犟 1 | 昶 2 | 

罔 : 晔 0 | 怆 1 | 啄 2 | 

圄 : 摈 0 | 淞 1 | 赘 2 | 

掮 : 菩 0 | 蹿 1 | 苣 2 | 

硼 : 奘 0 | 剃 1 | 枭 2 | 

啄 : 浃 0 | 峁 1 | 赭 2 | 

崽 : 俐 0 | 訇 1 | 梆 2 | 

⑤ : 绶 0 | 罂 1 | 碴 2 | 

厮 : 诃 0 | 娠 1 | 耆 2 | 

卤 : 箕 0 | 昵 1 | 嬗 2 | 

奂 : ━ 0 | ┐ 1 | 箔 2 | 

梵 : 恸 0 | 锏 1 | ┘ 2 | 

镛 : 畦 0 | 唉 1 | 涕 2 | 

潼 : 贲 0 | 淙 1 | 唠 2 | 

嗽 : 骞 0 | 霎 1 | 獭 2 | 

谑 : 酉 0 | 畿 1 | 痊 2 | 

莓 : 搪 0 | 嶂 1 | 邳 2 | 

梏 : 珉 0 | 珂 1 | 盹 2 | 

鲈 : 茉 0 | 脓 1 | 邕 2 | 

篝 : 卤 0 | 烃 1 | 赓 2 | 

猕 : 柩 0 | 帙 1 | 觑 2 | 

腼 : 蛰 0 | 驷 1 | 哒 2 | 

氪 : 澍 0 | 麒 1 | 栀 2 | 

扪 : → 0 | 绌 1 | 跄 2 | 

屉 : 耒 0 | 佚 1 | 翎 2 | 

烷 : 肋 0 | 踉 1 | 仟 2 | 

苕 : 饯 0 | 饷 1 | 臾 2 | 

峋 : 鸳 0 | 旎 1 | 觞 2 | 

臼 : 鸵 0 | 赅 1 | 旖 2 | 

鲲 : 萱 0 | 鸯 1 | 烬 2 | 

渑 : 隽 0 | 拈 1 | 晌 2 | 

浜 : 悻 0 | 靛 1 | 浜 2 | 

踮 : 祉 0 | 窿 1 | 怔 2 | 

汴 : 儋 0 | 泠 1 | 柞 2 | 

誊 : 娉 0 | 谑 1 | ｖ 2 | 

耆 : 撵 0 | 捋 1 | 妓 2 | 

旌 : 磺 0 | 潸 1 | 龛 2 | 

啜 : 耦 0 | 醛 1 | 砰 2 | 

鄄 : 渑 0 | 狞 1 | 苓 2 | 

唏 : 啬 0 | 窠 1 | 鹄 2 | 

唆 : 吩 0 | 俪 1 | 竺 2 | 

哧 : 苎 0 | 湟 1 | 藐 2 | 

徨 : 砻 0 | 矜 1 | 濯 2 | 

彷 : 坨 0 | 蠕 1 | 旌 2 | 

鹜 : 剁 0 | 戕 1 | 鲑 2 | 

拗 : 骧 0 | 噜 1 | 骡 2 | 

蜻 : 舀 0 | 宸 1 | 畲 2 | 

缛 : 镂 0 | 咂 1 | 腴 2 | 

聩 : 歙 0 | 楦 1 | 汊 2 | 

嚏 : 榷 0 | 桧 1 | 聿 2 | 

黠 : 芥 0 | 妩 1 | 汴 2 | 

筢 : 潦 0 | 荻 1 | 娼 2 | 

悯 : 阡 0 | 僳 1 | 稞 2 | 

脲 : 矾 0 | 狰 1 | 椁 2 | 

庵 : 皿 0 | 骝 1 | 尕 2 | 

呦 : 搐 0 | 婀 1 | 踱 2 | 

锃 : 傈 0 | 虬 1 | 洌 2 | 

阖 : 淬 0 | 诩 1 | 邗 2 | 

赓 : 杳 0 | 淖 1 | 溆 2 | 

楔 : 浣 0 | 鄄 1 | 纣 2 | 

箸 : 嗷 0 | 桅 1 | 痣 2 | 

狰 : 搔 0 | 酗 1 | 汐 2 | 

搐 : 捭 0 | 噌 1 | 酚 2 | 

舔 : 怵 0 | 朊 1 | 檬 2 | 

钠 : 谩 0 | 唧 1 | 铛 2 | 

樨 : 铆 0 | 啻 1 | 氦 2 | 

＞ : 谲 0 | 禀 1 | 蓊 2 | 

蝗 : 翦 0 | 忿 1 | 篾 2 | 

纰 : 咣 0 | 彗 1 | 鄞 2 | 

＜ : 佯 0 | 疡 1 | 邂 2 | 

匍 : 帛 0 | 糌 1 | 讷 2 | 

逅 : 辕 0 | 颍 1 | 痍 2 | 

盹 : 逅 0 | 肽 1 | 睢 2 | 

狞 : 婵 0 | 瘸 1 | 姹 2 | 

碚 : 讪 0 | 臀 1 | 邛 2 | 

姹 : 昱 0 | 爿 1 | 咙 2 | 

钽 : 梏 0 | 桎 1 | 鲈 2 | 

琏 : 洄 0 | 胱 1 | 璜 2 | 

俐 : 唏 0 | 缄 1 | 唆 2 | 

诒 : 佝 0 | 庖 1 | 偻 2 | 

谯 : 勐 0 | 黏 1 | 荥 2 | 

阉 : 茔 0 | 朐 1 | 宦 2 | 

孢 : 蓿 0 | 辊 1 | 狈 2 | 

擘 : 吮 0 | 苜 1 | 碣 2 | 

幔 : 镯 0 | ｘ 1 | 嘭 2 | 

钵 : 嚎 0 | 榛 1 | 闾 2 | 

遛 : 痞 0 | 勰 1 | 崮 2 | 

邈 : 琥 0 | 嗨 1 | 镖 2 | 

銮 : 蕙 0 | 俾 1 | 戥 2 | 

骁 : 儆 0 | 涞 1 | 裆 2 | 

阚 : 嵇 0 | 俟 1 | 泔 2 | 

锏 : 焱 0 | 倌 1 | 垭 2 | 

龈 : 坻 0 | 苒 1 | 涎 2 | 

龉 : 榔 0 | 痢 1 | 磬 2 | 

ｊ : 匍 0 | 蠹 1 | 琏 2 | 

锨 : 鲟 0 | 匐 1 | 珏 2 | 

雒 : 肄 0 | 呗 1 | 鲲 2 | 

醚 : 蛤 0 | 钗 1 | 矸 2 | 

犟 : Ⅳ 0 | 诘 1 | 葳 2 | 

崮 : 沏 0 | 馏 1 | 婶 2 | 

狈 : 桉 0 | 吠 1 | 阕 2 | 

艮 : 溴 0 | 飚 1 | 踝 2 | 

儡 : Ⅰ 0 | 麾 1 | 锑 2 | 

桫 : 缳 0 | 莨 1 | 麝 2 | 

胝 : 褛 0 | 邈 1 | 猷 2 | 

忪 : 靓 0 | 悴 1 | 悯 2 | 

嬴 : 莅 0 | 憔 1 | 瞳 2 | 

蚱 : 琮 0 | 抻 1 | 蕤 2 | 

藜 : 揩 0 | 揍 1 | 菪 2 | 

蕤 : 嘤 0 | 髯 1 | 揆 2 | 

