。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 是 10 | 和 11 | 有 12 | 大 13 | １ 14 | 不 15 | 年 16 | ０ 17 | 会 18 | 为 19 | 

孕 : 歹 0 | 挨 1 | 辱 2 | 庸 3 | 尿 4 | 怒 5 | 帆 6 | 尹 7 | 卸 8 | 赣 9 | 咖 10 | 捞 11 | 聊 12 | 肇 13 | 奢 14 | 逮 15 | 葬 16 | 畔 17 | 禽 18 | 澜 19 | 

沾 : 怒 0 | 尹 1 | 庸 2 | 赣 3 | 挨 4 | 捞 5 | 歹 6 | 肇 7 | 辱 8 | 逮 9 | 尿 10 | 畔 11 | 帆 12 | 澜 13 | 卸 14 | 淀 15 | 咖 16 | 沪 17 | 聊 18 | 鸭 19 | 

吞 : 捞 0 | 肇 1 | 赣 2 | 逮 3 | 尹 4 | 畔 5 | 怒 6 | 澜 7 | 庸 8 | 淀 9 | 挨 10 | 沪 11 | 歹 12 | 鸭 13 | 辱 14 | 廖 15 | 尿 16 | 涯 17 | 帆 18 | 鼎 19 | 

Ｈ : 畔 0 | 澜 1 | 逮 2 | 淀 3 | 肇 4 | 沪 5 | 捞 6 | 鸭 7 | 赣 8 | 廖 9 | 尹 10 | 涯 11 | 怒 12 | 鼎 13 | 庸 14 | 邱 15 | 挨 16 | 秉 17 | 歹 18 | 翠 19 | 

淹 : 沪 0 | 鸭 1 | 淀 2 | 廖 3 | 澜 4 | 涯 5 | 畔 6 | 鼎 7 | 逮 8 | 邱 9 | 肇 10 | 秉 11 | 捞 12 | 翠 13 | 赣 14 | 泼 15 | 尹 16 | 囊 17 | 怒 18 | 矶 19 | 

楠 : 涯 0 | 鼎 1 | 廖 2 | 邱 3 | 鸭 4 | 秉 5 | 沪 6 | 翠 7 | 淀 8 | 泼 9 | 澜 10 | 囊 11 | 畔 12 | 矶 13 | 逮 14 | 暨 15 | 肇 16 | 巾 17 | 捞 18 | 炳 19 | 

猖 : 秉 0 | 翠 1 | 邱 2 | 泼 3 | 鼎 4 | 囊 5 | 涯 6 | 矶 7 | 廖 8 | 暨 9 | 鸭 10 | 巾 11 | 沪 12 | 炳 13 | 淀 14 | 枯 15 | 澜 16 | 勉 17 | 畔 18 | 蚀 19 | 

嫁 : 囊 0 | 矶 1 | 泼 2 | 暨 3 | 翠 4 | 巾 5 | 秉 6 | 炳 7 | 邱 8 | 枯 9 | 鼎 10 | 勉 11 | 涯 12 | 蚀 13 | 廖 14 | 芝 15 | 鸭 16 | 饶 17 | 沪 18 | 桩 19 | 

叉 : 巾 0 | 炳 1 | 暨 2 | 枯 3 | 矶 4 | 勉 5 | 囊 6 | 蚀 7 | 泼 8 | 芝 9 | 翠 10 | 饶 11 | 秉 12 | 桩 13 | 邱 14 | 擦 15 | 鼎 16 | 崛 17 | 涯 18 | 绸 19 | 

薪 : 勉 0 | 蚀 1 | 枯 2 | 芝 3 | 炳 4 | 饶 5 | 巾 6 | 桩 7 | 暨 8 | 擦 9 | 矶 10 | 崛 11 | 囊 12 | 绸 13 | 泼 14 | 掏 15 | 翠 16 | 鹅 17 | 秉 18 | 寂 19 | 

羽 : 饶 0 | 桩 1 | 芝 2 | 擦 3 | 蚀 4 | 崛 5 | 勉 6 | 绸 7 | 枯 8 | 掏 9 | 炳 10 | 鹅 11 | 巾 12 | 寂 13 | 暨 14 | 臂 15 | 矶 16 | 椅 17 | 囊 18 | 逊 19 | 

愤 : 崛 0 | 绸 1 | 擦 2 | 掏 3 | 桩 4 | 鹅 5 | 饶 6 | 寂 7 | 芝 8 | 臂 9 | 蚀 10 | 椅 11 | 勉 12 | 逊 13 | 枯 14 | 寓 15 | 炳 16 | 雁 17 | 巾 18 | 橡 19 | 

冀 : 鹅 0 | 寂 1 | 掏 2 | 臂 3 | 绸 4 | 椅 5 | 崛 6 | 逊 7 | 擦 8 | 寓 9 | 桩 10 | 雁 11 | 饶 12 | 橡 13 | 芝 14 | 牡 15 | 蚀 16 | 圭 17 | 勉 18 | 鹤 19 | 

劾 : 椅 0 | 逊 1 | 臂 2 | 寓 3 | 寂 4 | 雁 5 | 鹅 6 | 橡 7 | 掏 8 | 牡 9 | 绸 10 | 圭 11 | 崛 12 | 鹤 13 | 擦 14 | 沫 15 | 桩 16 | ｎ 17 | 饶 18 | 趟 19 | 

淑 : 雁 0 | 橡 1 | 寓 2 | 牡 3 | 逊 4 | 圭 5 | 椅 6 | 鹤 7 | 臂 8 | 沫 9 | 寂 10 | ｎ 11 | 鹅 12 | 趟 13 | 掏 14 | 吾 15 | 绸 16 | 婴 17 | 崛 18 | 肠 19 | 

募 : 圭 0 | 鹤 1 | 牡 2 | 沫 3 | 橡 4 | ｎ 5 | 雁 6 | 趟 7 | 寓 8 | 吾 9 | 逊 10 | 婴 11 | 椅 12 | 肠 13 | 臂 14 | 砂 15 | 寂 16 | 扮 17 | 鹅 18 | 猫 19 | 

缆 : ｎ 0 | 趟 1 | 沫 2 | 吾 3 | 鹤 4 | 婴 5 | 圭 6 | 肠 7 | 牡 8 | 砂 9 | 橡 10 | 扮 11 | 雁 12 | 猫 13 | 寓 14 | 彬 15 | 逊 16 | 鄂 17 | 椅 18 | 潭 19 | 

滔 : 婴 0 | 肠 1 | 吾 2 | 砂 3 | 趟 4 | 扮 5 | ｎ 6 | 猫 7 | 沫 8 | 彬 9 | 鹤 10 | 鄂 11 | 圭 12 | 潭 13 | 牡 14 | 窑 15 | 橡 16 | 愉 17 | 雁 18 | 肤 19 | 

冤 : 扮 0 | 猫 1 | 砂 2 | 彬 3 | 肠 4 | 鄂 5 | 婴 6 | 潭 7 | 吾 8 | 窑 9 | 趟 10 | 愉 11 | ｎ 12 | 肤 13 | 沫 14 | 疼 15 | 鹤 16 | 帷 17 | 圭 18 | 纱 19 | 

恋 : 鄂 0 | 潭 1 | 彬 2 | 窑 3 | 猫 4 | 愉 5 | 扮 6 | 肤 7 | 砂 8 | 疼 9 | 肠 10 | 帷 11 | 婴 12 | 纱 13 | 吾 14 | 嘱 15 | 趟 16 | 抄 17 | ｎ 18 | 杏 19 | 

饥 : 愉 0 | 肤 1 | 窑 2 | 疼 3 | 潭 4 | 帷 5 | 鄂 6 | 纱 7 | 彬 8 | 嘱 9 | 猫 10 | 抄 11 | 扮 12 | 杏 13 | 砂 14 | 溉 15 | 肠 16 | 垮 17 | 婴 18 | 坤 19 | 

芝 : 帷 0 | 纱 1 | 疼 2 | 嘱 3 | 肤 4 | 抄 5 | 愉 6 | 杏 7 | 窑 8 | 溉 9 | 潭 10 | 垮 11 | 鄂 12 | 坤 13 | 彬 14 | 魁 15 | 猫 16 | 冀 17 | 扮 18 | 樊 19 | 

擦 : 抄 0 | 杏 1 | 嘱 2 | 溉 3 | 纱 4 | 垮 5 | 帷 6 | 坤 7 | 疼 8 | 魁 9 | 肤 10 | 冀 11 | 愉 12 | 樊 13 | 窑 14 | 阎 15 | 潭 16 | 宰 17 | 鄂 18 | 辐 19 | 

萃 : 垮 0 | 坤 1 | 溉 2 | 魁 3 | 杏 4 | 冀 5 | 抄 6 | 樊 7 | 嘱 8 | 阎 9 | 纱 10 | 宰 11 | 帷 12 | 辐 13 | 疼 14 | 筋 15 | 肤 16 | 刮 17 | 愉 18 | 沧 19 | 

冈 : 冀 0 | 樊 1 | 魁 2 | 阎 3 | 坤 4 | 宰 5 | 垮 6 | 辐 7 | 溉 8 | 筋 9 | 杏 10 | 刮 11 | 抄 12 | 沧 13 | 嘱 14 | 辨 15 | 纱 16 | 勾 17 | 帷 18 | 幢 19 | 

瞻 : 宰 0 | 辐 1 | 阎 2 | 筋 3 | 樊 4 | 刮 5 | 冀 6 | 沧 7 | 魁 8 | 辨 9 | 坤 10 | 勾 11 | 垮 12 | 幢 13 | 溉 14 | 萧 15 | 杏 16 | 悔 17 | 抄 18 | 鞭 19 | 

翰 : 刮 0 | 沧 1 | 筋 2 | 辨 3 | 辐 4 | 勾 5 | 宰 6 | 幢 7 | 阎 8 | 萧 9 | 樊 10 | 悔 11 | 冀 12 | 鞭 13 | 魁 14 | 猎 15 | 坤 16 | 鹰 17 | 垮 18 | 芦 19 | 

桩 : 勾 0 | 幢 1 | 辨 2 | 萧 3 | 沧 4 | 悔 5 | 刮 6 | 鞭 7 | 筋 8 | 猎 9 | 辐 10 | 鹰 11 | 宰 12 | 芦 13 | 阎 14 | 旭 15 | 樊 16 | 粹 17 | 冀 18 | 蒸 19 | 

斥 : 悔 0 | 鞭 1 | 萧 2 | 猎 3 | 幢 4 | 鹰 5 | 勾 6 | 芦 7 | 辨 8 | 旭 9 | 沧 10 | 粹 11 | 刮 12 | 蒸 13 | 筋 14 | 撼 15 | 辐 16 | 挚 17 | 宰 18 | 芭 19 | 

潭 : 鹰 0 | 芦 1 | 猎 2 | 旭 3 | 鞭 4 | 粹 5 | 悔 6 | 蒸 7 | 萧 8 | 撼 9 | 幢 10 | 挚 11 | 勾 12 | 芭 13 | 辨 14 | 斥 15 | 沧 16 | 狭 17 | 刮 18 | 枣 19 | 

凶 : 粹 0 | 蒸 1 | 旭 2 | 撼 3 | 芦 4 | 挚 5 | 鹰 6 | 芭 7 | 猎 8 | 斥 9 | 鞭 10 | 狭 11 | 悔 12 | 枣 13 | 萧 14 | 罐 15 | 幢 16 | 痕 17 | 勾 18 | 饿 19 | 

谦 : 挚 0 | 芭 1 | 撼 2 | 斥 3 | 蒸 4 | 狭 5 | 粹 6 | 枣 7 | 旭 8 | 罐 9 | 芦 10 | 痕 11 | 鹰 12 | 饿 13 | 猎 14 | 蓉 15 | 鞭 16 | 熙 17 | 悔 18 | 咬 19 | 

ｎ : 狭 0 | 枣 1 | 斥 2 | 罐 3 | 芭 4 | 痕 5 | 挚 6 | 饿 7 | 撼 8 | 蓉 9 | 蒸 10 | 熙 11 | 粹 12 | 咬 13 | 旭 14 | 衍 15 | 芦 16 | 凑 17 | 鹰 18 | 叛 19 | 

屯 : 痕 0 | 饿 1 | 罐 2 | 蓉 3 | 枣 4 | 熙 5 | 狭 6 | 咬 7 | 斥 8 | 衍 9 | 芭 10 | 凑 11 | 挚 12 | 叛 13 | 撼 14 | 肺 15 | 蒸 16 | 圩 17 | 粹 18 | 铃 19 | 

卵 : 熙 0 | 咬 1 | 蓉 2 | 衍 3 | 饿 4 | 凑 5 | 痕 6 | 叛 7 | 罐 8 | 肺 9 | 枣 10 | 圩 11 | 狭 12 | 铃 13 | 斥 14 | 瘦 15 | 芭 16 | 饼 17 | 挚 18 | ｔ 19 | 

灶 : 凑 0 | 叛 1 | 衍 2 | 肺 3 | 咬 4 | 圩 5 | 熙 6 | 铃 7 | 蓉 8 | 瘦 9 | 饿 10 | 饼 11 | 痕 12 | ｔ 13 | 罐 14 | 喻 15 | 枣 16 | 歉 17 | 狭 18 | 瞬 19 | 

虐 : 圩 0 | 铃 1 | 肺 2 | 瘦 3 | 叛 4 | 饼 5 | 凑 6 | ｔ 7 | 衍 8 | 喻 9 | 咬 10 | 歉 11 | 熙 12 | 瞬 13 | 蓉 14 | 啥 15 | 饿 16 | 恳 17 | 痕 18 | 淤 19 | 

仑 : 饼 0 | ｔ 1 | 瘦 2 | 喻 3 | 铃 4 | 歉 5 | 圩 6 | 瞬 7 | 肺 8 | 啥 9 | 叛 10 | 恳 11 | 凑 12 | 淤 13 | 衍 14 | 眠 15 | 咬 16 | 藤 17 | 熙 18 | 俞 19 | 

椅 : 歉 0 | 瞬 1 | 喻 2 | 啥 3 | ｔ 4 | 恳 5 | 饼 6 | 淤 7 | 瘦 8 | 眠 9 | 铃 10 | 藤 11 | 圩 12 | 俞 13 | 肺 14 | 亨 15 | 叛 16 | 汕 17 | 凑 18 | Ｌ 19 | 

扇 : 恳 0 | 淤 1 | 啥 2 | 眠 3 | 瞬 4 | 藤 5 | 歉 6 | 俞 7 | 喻 8 | 亨 9 | ｔ 10 | 汕 11 | 饼 12 | Ｌ 13 | 瘦 14 | 韧 15 | 铃 16 | 奎 17 | 圩 18 | 巍 19 | 

邯 : 藤 0 | 俞 1 | 眠 2 | 亨 3 | 淤 4 | 汕 5 | 恳 6 | Ｌ 7 | 啥 8 | 韧 9 | 瞬 10 | 奎 11 | 歉 12 | 巍 13 | 喻 14 | 瞻 15 | ｔ 16 | 崩 17 | 饼 18 | 壳 19 | 

沥 : 汕 0 | Ｌ 1 | 亨 2 | 韧 3 | 俞 4 | 奎 5 | 藤 6 | 巍 7 | 眠 8 | 瞻 9 | 淤 10 | 崩 11 | 恳 12 | 壳 13 | 啥 14 | 穴 15 | 瞬 16 | 剖 17 | 歉 18 | 舱 19 | 

渣 : 奎 0 | 巍 1 | 韧 2 | 瞻 3 | Ｌ 4 | 崩 5 | 汕 6 | 壳 7 | 亨 8 | 穴 9 | 俞 10 | 剖 11 | 藤 12 | 舱 13 | 眠 14 | 甫 15 | 淤 16 | 湛 17 | 恳 18 | 呵 19 | 

渝 : 崩 0 | 壳 1 | 瞻 2 | 穴 3 | 巍 4 | 剖 5 | 奎 6 | 舱 7 | 韧 8 | 甫 9 | Ｌ 10 | 湛 11 | 汕 12 | 呵 13 | 亨 14 | 芒 15 | 俞 16 | 匈 17 | 藤 18 | 碱 19 | 

咸 : 剖 0 | 舱 1 | 穴 2 | 甫 3 | 壳 4 | 湛 5 | 崩 6 | 呵 7 | 瞻 8 | 芒 9 | 巍 10 | 匈 11 | 奎 12 | 碱 13 | 韧 14 | 躺 15 | Ｌ 16 | 脊 17 | 汕 18 | 驳 19 | 

硫 : 湛 0 | 呵 1 | 甫 2 | 芒 3 | 舱 4 | 匈 5 | 剖 6 | 碱 7 | 穴 8 | 躺 9 | 壳 10 | 脊 11 | 崩 12 | 驳 13 | 瞻 14 | 庐 15 | 巍 16 | 抒 17 | 奎 18 | 歇 19 | 

ｅ : 匈 0 | 碱 1 | 芒 2 | 躺 3 | 呵 4 | 脊 5 | 湛 6 | 驳 7 | 甫 8 | 庐 9 | 舱 10 | 抒 11 | 剖 12 | 歇 13 | 穴 14 | 弦 15 | 壳 16 | 枢 17 | 崩 18 | 馨 19 | 

荫 : 脊 0 | 驳 1 | 躺 2 | 庐 3 | 碱 4 | 抒 5 | 匈 6 | 歇 7 | 芒 8 | 弦 9 | 呵 10 | 枢 11 | 湛 12 | 馨 13 | 甫 14 | 钧 15 | 舱 16 | 渤 17 | 剖 18 | 奴 19 | 

巍 : 抒 0 | 歇 1 | 庐 2 | 弦 3 | 驳 4 | 枢 5 | 脊 6 | 馨 7 | 躺 8 | 钧 9 | 碱 10 | 渤 11 | 匈 12 | 奴 13 | 芒 14 | 宙 15 | 呵 16 | 悼 17 | 湛 18 | 澄 19 | 

Ｌ : 枢 0 | 馨 1 | 弦 2 | 钧 3 | 歇 4 | 渤 5 | 抒 6 | 奴 7 | 庐 8 | 宙 9 | 驳 10 | 悼 11 | 脊 12 | 澄 13 | 躺 14 | 忌 15 | 碱 16 | 妨 17 | 匈 18 | Ｈ 19 | 

萎 : 渤 0 | 奴 1 | 钧 2 | 宙 3 | 馨 4 | 悼 5 | 枢 6 | 澄 7 | 弦 8 | 忌 9 | 歇 10 | 妨 11 | 抒 12 | Ｈ 13 | 庐 14 | 扛 15 | 驳 16 | 荫 17 | 脊 18 | 蔚 19 | 

柯 : 悼 0 | 澄 1 | 宙 2 | 忌 3 | 奴 4 | 妨 5 | 渤 6 | Ｈ 7 | 钧 8 | 扛 9 | 馨 10 | 荫 11 | 枢 12 | 蔚 13 | 弦 14 | 拾 15 | 歇 16 | 霜 17 | 抒 18 | 猜 19 | 

墓 : 妨 0 | Ｈ 1 | 忌 2 | 扛 3 | 澄 4 | 荫 5 | 悼 6 | 蔚 7 | 宙 8 | 拾 9 | 奴 10 | 霜 11 | 渤 12 | 猜 13 | 钧 14 | ＊ 15 | 馨 16 | 襄 17 | 枢 18 | 衬 19 | 

帷 : 荫 0 | 蔚 1 | 扛 2 | 拾 3 | Ｈ 4 | 霜 5 | 妨 6 | 猜 7 | 忌 8 | ＊ 9 | 澄 10 | 襄 11 | 悼 12 | 衬 13 | 宙 14 | 叠 15 | 奴 16 | × 17 | 渤 18 | 屯 19 | 

逊 : 霜 0 | 猜 1 | 拾 2 | ＊ 3 | 蔚 4 | 襄 5 | 荫 6 | 衬 7 | 扛 8 | 叠 9 | Ｈ 10 | × 11 | 妨 12 | 屯 13 | 忌 14 | 鄱 15 | 澄 16 | Ｋ 17 | 悼 18 | 疯 19 | 

鞠 : 襄 0 | 衬 1 | ＊ 2 | 叠 3 | 猜 4 | × 5 | 霜 6 | 屯 7 | 拾 8 | 鄱 9 | 蔚 10 | Ｋ 11 | 荫 12 | 疯 13 | 扛 14 | 咸 15 | Ｈ 16 | 岂 17 | 妨 18 | 爽 19 | 

叠 : × 0 | 屯 1 | 叠 2 | 鄱 3 | 衬 4 | Ｋ 5 | 襄 6 | 疯 7 | ＊ 8 | 咸 9 | 猜 10 | 岂 11 | 霜 12 | 爽 13 | 拾 14 | ｏ 15 | 蔚 16 | 谅 17 | 荫 18 | 厕 19 | 

廖 : Ｋ 0 | 疯 1 | 鄱 2 | 咸 3 | 屯 4 | 岂 5 | × 6 | 爽 7 | 叠 8 | ｏ 9 | 衬 10 | 谅 11 | 襄 12 | 厕 13 | ＊ 14 | 饥 15 | 猜 16 | 侈 17 | 霜 18 | 隧 19 | 

弦 : 岂 0 | 爽 1 | 咸 2 | ｏ 3 | 疯 4 | 谅 5 | Ｋ 6 | 厕 7 | 鄱 8 | 饥 9 | 屯 10 | 侈 11 | × 12 | 隧 13 | 叠 14 | 朽 15 | 衬 16 | 陋 17 | 襄 18 | 堰 19 | 

杠 : 谅 0 | 厕 1 | ｏ 2 | 饥 3 | 爽 4 | 侈 5 | 岂 6 | 隧 7 | 咸 8 | 朽 9 | 疯 10 | 陋 11 | Ｋ 12 | 堰 13 | 鄱 14 | 躯 15 | 屯 16 | 亟 17 | × 18 | 芯 19 | 

踊 : 侈 0 | 隧 1 | 饥 2 | 朽 3 | 厕 4 | 陋 5 | 谅 6 | 堰 7 | ｏ 8 | 躯 9 | 爽 10 | 亟 11 | 岂 12 | 芯 13 | 咸 14 | 袱 15 | 疯 16 | 慌 17 | Ｋ 18 | 啦 19 | 

瞄 : 陋 0 | 堰 1 | 朽 2 | 躯 3 | 隧 4 | 亟 5 | 侈 6 | 芯 7 | 饥 8 | 袱 9 | 厕 10 | 慌 11 | 谅 12 | 啦 13 | ｏ 14 | 碌 15 | 爽 16 | 厢 17 | 岂 18 | 鞍 19 | 

撼 : 亟 0 | 芯 1 | 躯 2 | 袱 3 | 堰 4 | 慌 5 | 陋 6 | 啦 7 | 朽 8 | 碌 9 | 隧 10 | 厢 11 | 侈 12 | 鞍 13 | 饥 14 | 捉 15 | 厕 16 | 鬼 17 | 谅 18 | 邵 19 | 

吟 : 慌 0 | 啦 1 | 袱 2 | 碌 3 | 芯 4 | 厢 5 | 亟 6 | 鞍 7 | 躯 8 | 捉 9 | 堰 10 | 鬼 11 | 陋 12 | 邵 13 | 朽 14 | 摔 15 | 隧 16 | 镑 17 | 侈 18 | 蝶 19 | 

蜂 : 厢 0 | 鞍 1 | 碌 2 | 捉 3 | 啦 4 | 鬼 5 | 慌 6 | 邵 7 | 袱 8 | 摔 9 | 芯 10 | 镑 11 | 亟 12 | 蝶 13 | 躯 14 | 秧 15 | 堰 16 | 浴 17 | 陋 18 | 砸 19 | 

矾 : 鬼 0 | 邵 1 | 捉 2 | 摔 3 | 鞍 4 | 镑 5 | 厢 6 | 蝶 7 | 碌 8 | 秧 9 | 啦 10 | 浴 11 | 慌 12 | 砸 13 | 袱 14 | 鼻 15 | 芯 16 | 陌 17 | 亟 18 | 僚 19 | 

遂 : 镑 0 | 蝶 1 | 摔 2 | 秧 3 | 邵 4 | 浴 5 | 鬼 6 | 砸 7 | 捉 8 | 鼻 9 | 鞍 10 | 陌 11 | 厢 12 | 僚 13 | 碌 14 | 赂 15 | 啦 16 | 窄 17 | 慌 18 | 诫 19 | 

抄 : 浴 0 | 砸 1 | 秧 2 | 鼻 3 | 蝶 4 | 陌 5 | 镑 6 | 僚 7 | 摔 8 | 赂 9 | 邵 10 | 窄 11 | 鬼 12 | 诫 13 | 捉 14 | 扔 15 | 鞍 16 | 逸 17 | 厢 18 | 竖 19 | 

铝 : 陌 0 | 僚 1 | 鼻 2 | 赂 3 | 砸 4 | 窄 5 | 浴 6 | 诫 7 | 秧 8 | 扔 9 | 蝶 10 | 逸 11 | 镑 12 | 竖 13 | 摔 14 | 颠 15 | 邵 16 | 莉 17 | 鬼 18 | 链 19 | 

赈 : 窄 0 | 诫 1 | 赂 2 | 扔 3 | 僚 4 | 逸 5 | 陌 6 | 竖 7 | 鼻 8 | 颠 9 | 砸 10 | 莉 11 | 浴 12 | 链 13 | 秧 14 | 膀 15 | 蝶 16 | 刹 17 | 镑 18 | 兢 19 | 

匈 : 逸 0 | 竖 1 | 扔 2 | 颠 3 | 诫 4 | 莉 5 | 窄 6 | 链 7 | 赂 8 | 膀 9 | 僚 10 | 刹 11 | 陌 12 | 兢 13 | 鼻 14 | 狼 15 | 砸 16 | 舶 17 | 浴 18 | 缠 19 | 

霖 : 莉 0 | 链 1 | 颠 2 | 膀 3 | 竖 4 | 刹 5 | 逸 6 | 兢 7 | 扔 8 | 狼 9 | 诫 10 | 舶 11 | 窄 12 | 缠 13 | 赂 14 | 铝 15 | 僚 16 | 孜 17 | 陌 18 | 炬 19 | 

朔 : 刹 0 | 兢 1 | 膀 2 | 狼 3 | 链 4 | 舶 5 | 莉 6 | 缠 7 | 颠 8 | 铝 9 | 竖 10 | 孜 11 | 逸 12 | 炬 13 | 扔 14 | 濒 15 | 诫 16 | 桔 17 | 窄 18 | 挠 19 | 

砸 : 舶 0 | 缠 1 | 狼 2 | 铝 3 | 兢 4 | 孜 5 | 刹 6 | 炬 7 | 膀 8 | 濒 9 | 链 10 | 桔 11 | 莉 12 | 挠 13 | 颠 14 | 浆 15 | 竖 16 | 棒 17 | 逸 18 | 渝 19 | 

芽 : 孜 0 | 炬 1 | 铝 2 | 濒 3 | 缠 4 | 桔 5 | 舶 6 | 挠 7 | 狼 8 | 浆 9 | 兢 10 | 棒 11 | 刹 12 | 渝 13 | 膀 14 | 傍 15 | 链 16 | 盯 17 | 莉 18 | 虐 19 | 

咬 : 桔 0 | 挠 1 | 濒 2 | 浆 3 | 炬 4 | 棒 5 | 孜 6 | 渝 7 | 铝 8 | 傍 9 | 缠 10 | 盯 11 | 舶 12 | 虐 13 | 狼 14 | 臭 15 | 兢 16 | 惕 17 | 刹 18 | 葱 19 | 

枢 : 棒 0 | 渝 1 | 浆 2 | 傍 3 | 挠 4 | 盯 5 | 桔 6 | 虐 7 | 濒 8 | 臭 9 | 炬 10 | 惕 11 | 孜 12 | 葱 13 | 铝 14 | 歪 15 | 缠 16 | 夷 17 | 舶 18 | 娟 19 | 

蜜 : 盯 0 | 虐 1 | 傍 2 | 臭 3 | 渝 4 | 惕 5 | 棒 6 | 葱 7 | 浆 8 | 歪 9 | 挠 10 | 夷 11 | 桔 12 | 娟 13 | 濒 14 | 莎 15 | 炬 16 | 绒 17 | 孜 18 | 烽 19 | 

纱 : 惕 0 | 葱 1 | 臭 2 | 歪 3 | 虐 4 | 夷 5 | 盯 6 | 娟 7 | 傍 8 | 莎 9 | 渝 10 | 绒 11 | 棒 12 | 烽 13 | 浆 14 | 蜂 15 | 挠 16 | 秆 17 | 桔 18 | 彪 19 | 

畴 : 夷 0 | 娟 1 | 歪 2 | 莎 3 | 葱 4 | 绒 5 | 惕 6 | 烽 7 | 臭 8 | 蜂 9 | 虐 10 | 秆 11 | 盯 12 | 彪 13 | 傍 14 | 泣 15 | 渝 16 | 祭 17 | 棒 18 | 钞 19 | 

秆 : 绒 0 | 烽 1 | 莎 2 | 蜂 3 | 娟 4 | 秆 5 | 夷 6 | 彪 7 | 歪 8 | 泣 9 | 葱 10 | 祭 11 | 惕 12 | 钞 13 | 臭 14 | 隶 15 | 虐 16 | 虾 17 | 盯 18 | 遂 19 | 

喧 : 秆 0 | 彪 1 | 蜂 2 | 泣 3 | 烽 4 | 祭 5 | 绒 6 | 钞 7 | 莎 8 | 隶 9 | 娟 10 | 虾 11 | 夷 12 | 遂 13 | 歪 14 | 筒 15 | 葱 16 | 闽 17 | 惕 18 | 秸 19 | 

颤 : 祭 0 | 钞 1 | 泣 2 | 隶 3 | 彪 4 | 虾 5 | 秆 6 | 遂 7 | 蜂 8 | 筒 9 | 烽 10 | 闽 11 | 绒 12 | 秸 13 | 莎 14 | 粤 15 | 娟 16 | 丸 17 | 夷 18 | 姻 19 | 

臂 : 虾 0 | 遂 1 | 隶 2 | 筒 3 | 钞 4 | 闽 5 | 祭 6 | 秸 7 | 泣 8 | 粤 9 | 彪 10 | 丸 11 | 秆 12 | 姻 13 | 蜂 14 | 鲍 15 | 烽 16 | 恨 17 | 绒 18 | ａ 19 | 

晃 : 闽 0 | 秸 1 | 筒 2 | 粤 3 | 遂 4 | 丸 5 | 虾 6 | 姻 7 | 隶 8 | 鲍 9 | 钞 10 | 恨 11 | 祭 12 | ａ 13 | 泣 14 | 蹲 15 | 彪 16 | 螺 17 | 秆 18 | 肌 19 | 

鬼 : 丸 0 | 姻 1 | 粤 2 | 鲍 3 | 秸 4 | 恨 5 | 闽 6 | ａ 7 | 筒 8 | 蹲 9 | 遂 10 | 螺 11 | 虾 12 | 肌 13 | 隶 14 | 晒 15 | 钞 16 | 抹 17 | 祭 18 | Ｗ 19 | 

歪 : 恨 0 | ａ 1 | 鲍 2 | 蹲 3 | 姻 4 | 螺 5 | 丸 6 | 肌 7 | 粤 8 | 晒 9 | 秸 10 | 抹 11 | 闽 12 | Ｗ 13 | 筒 14 | 卵 15 | 遂 16 | 铢 17 | 虾 18 | 沛 19 | 

苑 : 螺 0 | 肌 1 | 蹲 2 | 晒 3 | ａ 4 | 抹 5 | 恨 6 | Ｗ 7 | 鲍 8 | 卵 9 | 姻 10 | 铢 11 | 丸 12 | 沛 13 | 粤 14 | 斋 15 | 秸 16 | 垫 17 | 闽 18 | 梨 19 | 

吓 : 抹 0 | Ｗ 1 | 晒 2 | 卵 3 | 肌 4 | 铢 5 | 螺 6 | 沛 7 | 蹲 8 | 斋 9 | ａ 10 | 垫 11 | 恨 12 | 梨 13 | 鲍 14 | 趁 15 | 姻 16 | 躲 17 | 丸 18 | 淋 19 | 

ｔ : 铢 0 | 沛 1 | 卵 2 | 斋 3 | Ｗ 4 | 垫 5 | 抹 6 | 梨 7 | 晒 8 | 趁 9 | 肌 10 | 躲 11 | 螺 12 | 淋 13 | 蹲 14 | 珊 15 | ａ 16 | 颈 17 | 恨 18 | 骂 19 | 

饿 : 垫 0 | 梨 1 | 斋 2 | 趁 3 | 沛 4 | 躲 5 | 铢 6 | 淋 7 | 卵 8 | 珊 9 | Ｗ 10 | 颈 11 | 抹 12 | 骂 13 | 晒 14 | Ｘ 15 | 肌 16 | 吟 17 | 螺 18 | 曝 19 | 

缠 : 躲 0 | 淋 1 | 趁 2 | 珊 3 | 梨 4 | 颈 5 | 垫 6 | 骂 7 | 斋 8 | Ｘ 9 | 沛 10 | 吟 11 | 铢 12 | 曝 13 | 卵 14 | 崖 15 | Ｗ 16 | 叉 17 | 抹 18 | 邢 19 | 

